id,品牌,名称,省份,城市,区县,地址,属性,经纬度,距离
B0FFJGMFQ2,森马,森馬,河北省,廊坊市,广阳区,金光道大中广场内,成人,"116.698502,39.520351",3871
B0FFIXTJJ6,森马,森马,河北省,廊坊市,香河县,淑阳镇新开街香城壹号云天国际广场一层,成人,"116.998367,39.754894",187
B0FFIPBAM3,森马,森马,河北省,邯郸市,成安县,新兴西路14号,成人,"114.688211,36.445618",4134
B0FFKYV30R,森马,森马,河北省,承德市,承德县,下板城镇百货大楼,成人,"118.175001,40.769123",3903
B0FFKMQ0H0,森马,森马,河北省,邯郸市,邱县,新马头镇育新街115号附近正东方向57米,成人,"115.173577,36.815157",2562
B0FFKHY33E,森马,森马,河北省,廊坊市,霸州市,胜芳镇武平路明珠超市,成人,"116.714698,39.063169",2264
B0FFJYNHME,森马,森马,河北省,保定市,雄县,铃铛阁大街286号附近,成人,"116.099070,38.984626",2419
B0FFJNE4AU,森马,森马,河北省,邢台市,任县,通济路120号附近,成人,"114.681212,37.126215",1243
B0FFJISQD8,森马,森马,河北省,沧州市,河间市,331省道南50米,成人,"116.456967,38.391088",2027
B0FFJ2W2JR,森马,森马,河北省,邢台市,新河县,新兴街与新华路交叉口西100米,成人,"115.242562,37.528774",1882
B0FFJ1GJA3,森马,森马,河北省,石家庄市,辛集市,辛集镇鹿城商业广场一楼,成人,"115.215195,37.940937",963
B0FFJ06NY9,森马,森马,河北省,保定市,涞源县,涞源镇开源路信誉商厦3楼,成人,"114.705727,39.358478",1430
B0FFIVM1ZY,森马,森马,河北省,衡水市,阜城县,富强西路南50米,成人,"116.162166,37.868615",1607
B0FFITCTZT,森马,森马,河北省,石家庄市,行唐县,龙州镇惠民商厦,成人,"114.550025,38.442184",4229
B0FFISDOXV,森马,森马,河北省,衡水市,武邑县,富达金街3号楼004号(武邑县经济发展局西北),成人,"115.895516,37.802439",784
B0FFIRZH8Z,森马,森马,河北省,邢台市,广宗县,兴广南路184号附近,成人,"115.139137,37.073430",3421
B0FFIPZII7,森马,森马,河北省,石家庄市,井陉县,城滨河路1号万瑞福广场3层01-02-03附近,成人,"114.145752,38.026589",4080
B0FFIDYV42,森马,森马,河北省,邯郸市,大名县,京府大街291号附近,成人,"115.151284,36.291087",4432
B0FFI70T63,森马,森马,河北省,邯郸市,磁县,磁州镇磁县千汇百货二楼,成人,"114.373255,36.358883",2757
