frontDesc,category_id,category_name,superCategoryId,colorNum,counterPrice,item_id,primaryPicUrl,name,simpleDesc,retailPrice,sellVolume,material,style,comment
自在潇洒穿着感,1093012,男式外套,1010000,0,1299,1618038,https://yanxuan.nosdn.127.net/d2c817f9947672db6441030ab81fed13.png,男式经典真皮夹克衫,柔韧的头层羊皮，硬朗的廓型,1299,757,,,
潮流服饰,109214004,男式针织衫/卫衣,1010000,0,799,1593000,https://yanxuan.nosdn.127.net/e7cff13a5b3961a638c4ba404e0118b1.png,100%baby羊绒 男式高领小山羊绒衫,100%小山羊绒，糯软绒毛取自未满1岁的山羊羊羔,799,2907,,,
绅士的第二肌肤,1093013,男式内衣,1010000,4,69,1064013,https://yanxuan.nosdn.127.net/04cecd55fe5994671710dd647c7b304b.png,男式基础打底背心,日本缝纫经典基础款,69,9262,,,质量上乘2766	很舒服2517	性价比高711	手感好444	尺寸合适344	面料好281	衣服合身209	尺寸小206
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,259,1572025,https://yanxuan.nosdn.127.net/a8d154391174670d478f620857265e35.jpg,Yessing男式基础塑形梭织长裤,搭配任何上衣都好看,259,10667,,运动、休闲,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,349,1572021,https://yanxuan.nosdn.127.net/8a39e26f9031d1a47a597890f02d968a.jpg,Yessing女式弹力修身微喇牛仔裤,秋冬微喇裤，让腿更美的魔法,299,1932,"牛仔蓝 (面料：棉 91% 聚酯纤维 7% 氨纶 2%)
浅蓝(面料：棉 98% 氨纶 2% )",,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,279,1585007,https://yanxuan.nosdn.127.net/2728d3633281c0fa67af0ea15ef7a509.jpg,Yessing女式织带收口小脚9分裤,遮瑕显瘦，弹力舒适,199,5572,锦纶85% 氨纶15%,,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,259,1586000,https://yanxuan.nosdn.127.net/257cbe5fb8626444ee38a356450a9f72.jpg,Yessing女式弹力修身梭织长裤,秋季必备美腿舒适单品,229,3524,锦纶85% 氨纶15%,,很舒服36	质量上乘17	显瘦17	弹性不错14	裤子不错12	版型不错6	性价比高6	透气性好5
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,279,1585006,https://yanxuan.nosdn.127.net/a0bde4e9462ce46acb9f6f80775e0d8e.jpg,Yessing男式弹力合体梭织长裤,【梭织四面弹】弹力修身舒爽长裤,279,6118,锦纶85% 氨纶15%,,很舒服21	质量上乘10	尺寸合适6
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,349,1576002,https://yanxuan.nosdn.127.net/2f8676dd97c760b230b2935649d018ce.jpg,Yessing男式弹力印花直筒牛仔裤,男生的牛仔裤，不应千篇一律,199,2298,棉 95% 聚酯纤维 4%， 氨纶 1%,,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,349,1576001,https://yanxuan.nosdn.127.net/1b182c60c10ceed1679256851ca0a7e5.jpg,Yessing男式织带运动牛仔裤,运动级弹力，舒服的不像牛仔,299,1967,"牛仔蓝(面料： 棉 95% 聚酯纤维 4%， 氨纶 1%)
 黑色（面料： 棉 68% 聚酯纤维 22%， 粘纤 9% 氨纶 1% ）",,
