frontDesc,category_id,category_name,superCategoryId,colorNum,counterPrice,item_id,primaryPicUrl,name,simpleDesc,retailPrice,sellVolume,material,style,comment
出口品质，严选贴合萌宠生活习惯用品。,1017000,宠物,1005000,2,39.0,1108031,https://yanxuan.nosdn.127.net/e13e9697e01339c6cf7479eb81b3fbe2.png,宠物不锈钢圆形倾斜餐碗,15°倾斜设计，保护萌宠颈椎,39.0,0,,,质量上乘159	漂亮精致105	有效实用100	尺寸合适30	性价比高21	做工精良20	很可爱19	宝贝不错18
你和潮流之间就差一个我,1036001,眼镜,1008000,0,249.0,1439000,https://yanxuan.nosdn.127.net/328a8ceba8d8699fe1c2f4978981bff9.png,【近视配镜】复古深咖方形眼镜,深咖条纹，成熟稳重,249.0,97,,,质量上乘46	漂亮精致24	性价比高15	做工精良13	沉重7	很舒服6
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,259.0,1572025,https://yanxuan.nosdn.127.net/86c04184041a1bc2d5e781dec080059a.jpg,Yessing男式基础塑形梭织长裤,高质感塑形裤，搭配任何上衣都好看,259.0,6447,,,很舒服8	漂亮精致7
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,349.0,1572021,https://yanxuan.nosdn.127.net/a4e8cc24b44b3c80ae9dd1b2279c8dd7.jpg,Yessing女式弹力修身微喇牛仔裤,秋冬微喇裤，让腿更美的魔法,349.0,890,"牛仔蓝 (面料：棉 91% 聚酯纤维 7% 氨纶 2%)
浅蓝(面料：棉 98% 氨纶 2% )",,质量上乘6	很舒服6	弹性不错5
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,279.0,1585007,https://yanxuan.nosdn.127.net/1b81ad447cec01a6c45983514de3a3b3.jpg,Yessing女式织带收口小脚9分裤,遮瑕显瘦，弹力舒适,279.0,3486,锦纶85% 氨纶15%,,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,259.0,1586000,https://yanxuan.nosdn.127.net/3e2a033367e19823a04cda0a6731267e.jpg,Yessing女式弹力修身梭织长裤,秋季必备美腿舒适单品,259.0,1872,锦纶85% 氨纶15%,,很舒服42	质量上乘21	显瘦19	弹性不错16	裤子不错12	穿着不错9	性价比高9	版型不错8
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,279.0,1585006,https://yanxuan.nosdn.127.net/8bcf46db4ae7d66d17b3b4c96bc6c86e.jpg,Yessing男式弹力合体梭织长裤,【梭织四面弹】弹力修身舒爽长裤,279.0,3755,锦纶85% 氨纶15%,,很舒服31	质量上乘13	尺寸合适6	透气性好5	穿着不错5
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,349.0,1576002,https://yanxuan.nosdn.127.net/92b7e2c68afd38c4c627c1c1a0ea39e0.jpg,Yessing男式弹力印花直筒牛仔裤,男生的牛仔裤，不应千篇一律,349.0,1301,棉 95% 聚酯纤维 4%， 氨纶 1%,,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,349.0,1576001,https://yanxuan.nosdn.127.net/64517ed5c2402dede6b7095342fa3f3d.jpg,Yessing男式织带运动牛仔裤,运动级弹力，舒服的不像牛仔,349.0,1340,"牛仔蓝(面料： 棉 95% 聚酯纤维 4%， 氨纶 1%)
 黑色（面料： 棉 68% 聚酯纤维 22%， 粘纤 9% 氨纶 1% ）",,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,229.0,1576000,https://yanxuan.nosdn.127.net/20936185f3ce1646f7aec56bf8048983.jpg,Yessing女式时尚休闲阔腿梭织裤,阔腿设计，俏皮美型,229.0,540,,,
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,279.0,1574018,https://yanxuan.nosdn.127.net/1ce2a0bbd5453e17cef60d7eb02c12cf.jpg,Yessing男式透气运动梭织长裤,轻松穿出型男感的秋冬裤,279.0,3001,,,质量上乘18
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,299.0,1572029,https://yanxuan.nosdn.127.net/60cd73cfb26142b09b3df60acdb200d1.jpg,Yessing男式弹力直筒百搭牛仔裤,优秀基础款，商务生活两相宜,299.0,748,"牛仔蓝(面料： 棉 95% 聚酯纤维 4%， 氨纶 1%)
 黑色（面料： 棉 68% 聚酯纤维 22%， 粘纤 9% 氨纶 1% ）",,很舒服29	弹性不错12	尺寸合适11	质量上乘9	裤子不错6	性价比高6
轻运动，年轻时尚,109214006,Yessing下装,1010000,0,249.0,1572026,https://yanxuan.nosdn.127.net/1016c23c3c40aa4c8de11629e553d2b5.jpg,Yessing女式梭织美腿修身铅笔裤,秋季美腿必选，精调版型,249.0,5611,,,显瘦13	质量上乘11	很舒服9	漂亮精致6
