iid,buying_info,CommentCount,page,sale_num,origin_price,favorRate,default_praise_count,tags,price,stock,img,title
30375401,7539人已抢,1714,23,7539,,96%,520,实惠|191	物流快|23	包装好|17	服务不错|13	发货快|11	和描述一致|8	物流慢|7	质量很好|6	是正品|3	大品牌|1,1390,,http://b1.hucdn.com/upload/item/1808/08/19433075376375_800x800.jpg,慕丝妮卡面超辣火鸡面国产108g*5连包 芝士鸡肉味拌面中国火鸡面方便面速食
30559726,30704人已抢,4324,22,30704,,99%,9497,实惠|196	是正品|191	外观不错|190	外观不好看|186	正品|185	质量不错|110	质量很好|110	物流快|64	和描述一致|55	包装好|41	服务不错|24,2690,,http://b1.hucdn.com/upload/item/1809/12/44590382775966_800x800.jpg,【超值8包50片】苏菲卫生巾纯棉日用夜用超薄弹力贴身超熟睡混合装超值组合
30556968,8322人已抢,1414,22,8322,,99%,268,实惠|187	正品|109	是正品|96	包装好|35	保湿滋润|33	物流快|30	质量不错|27	味道好闻|15	质量很好|11	服务不错|9	清洁度强|8,2690,,http://b1.hucdn.com/upload/item/1808/20/50323680195296_800x800.jpg,【送眼膜3对】欧诗漫OSM滚珠三头提拉眼霜眼精华淡化黑眼圈去细纹补水保湿
30620341,12144人已抢,3633,21,12144,,98%,547,质量很好|191	实惠|190	柔软舒适|190	尺码偏大|100	抓地性不好|96	质量一般|62	和描述一致|58	尺码合适|46	软硬度合适|41	正品|37	物流快|35,4500,,http://b1.hucdn.com/upload/item/1808/01/04708146588323_800x800.jpg,吧吖吧吖 儿童运动鞋男童板鞋春秋女童小白鞋透气宝宝鞋保暖棉鞋
30614122,3502人已抢,744,21,3502,,97%,994,实惠|152	质量很好|33	无异味|12	物流快|9	质量一般|8	好玩|6	物流慢|6	服务不错|5	和描述一致|4	发货快|2	功能不错|1,1880,,http://b1.hucdn.com/upload/item/1707/23/99895982297727_750x750.jpg,儿童数数棒多功能木质磁性运算学习盒算术棒幼儿园儿童数学算术教育益智玩具数字卡片
30619526,2409人已抢,918,45,2409,,97%,352,实惠|192	正品|61	是正品|49	清洁度强|24	味道好闻|24	保湿滋润|23	包装好|21	物流快|15	服务不错|15	质量不错|14	质量很好|8,3200,,http://b1.hucdn.com/upload/item/1712/19/70072474134501_800x800.jpg,One leaf/一叶子 洗面奶+去角质素套组 超值两件套
30618836,120人已抢,27,45,120,,100%,2,尺码不合身|10	质量很好|8	衣服不错|8	实惠|6	正品|4	尺码偏大|2	面料手感不错|2	是正品|1	面料手感一般|1	无色差|1,17900,,http://b1.hucdn.com/upload/item/1708/19/27762581966092_800x800.jpg,巴拉巴拉童装女童连衣裙小童宝宝裙子秋冬儿童公主裙淑女
26198341,1966人已抢,999,45,1966,,99%,140,味道好|196	孩子喜欢|196	实惠|129	是正品|41	包装好|31	和描述一致|20	孩子不喜欢|12	物流快|8	发货快|7	生产日期新|6	物流慢|5,3950,,http://b1.hucdn.com/upload/item/1707/31/85696435995933_800x800.jpg,贝比玛玛营养米饼 香蕉味50g+胡萝卜味/原味+苹果50g米饼（适用6个月+）
30622815,87人已抢,23,45,87,,100%,21,质量很好|7	实惠|5	无色差|1	物流快|1	服务不错|1	尺码不合身|1	尺码合身|1	正品|1	手感不错|1	快递慢|1	衣服不错|1,7900,,http://b1.hucdn.com/upload/item/1801/25/53909847106092_800x800.jpg,巴拉巴拉童装小童宝宝纯棉长裤春秋儿童女童打底裤裤子潮
30609834,880人已抢,170,45,880,,97%,60,实惠|62	质量很好|5	和描述一致|4	质量一般|3	物流快|2	发货快|1	服务不错|1	物流慢|1,490,,http://b1.hucdn.com/upload/item/1804/04/32827765447918_800x800.jpg,竹炭牙刷14件套】10支竹炭牙刷加4个漱口杯 清洁软毛成人牙刷家庭装
