id,name,type,address,location,pname,cityname,adname,city
B0FFJ1GJA3,森马,购物服务;购物相关场所;购物相关场所,辛集镇鹿城商业广场一楼,115.215195,37.940937,河北省,石家庄市,辛集市,河北省
B0FFITCTZT,森马,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,龙州镇惠民商厦,114.550025,38.442184,河北省,石家庄市,行唐县,河北省
B0FFIPZII7,森马,购物服务;服装鞋帽皮具店;品牌服装店,城滨河路1号万瑞福广场3层01-02-03附近,114.145752,38.026589,河北省,石家庄市,井陉县,河北省
B0FFHNRFM8,森马,购物服务;服装鞋帽皮具店;品牌服装店,藁城区昌盛街信誉楼商厦(藁城店)3层,114.859719,38.026830,河北省,石家庄市,藁城区,河北省
B0FFFQZAOB,森马,购物服务;服装鞋帽皮具店;品牌服装店,槐阳大街与人民路交叉口西200米,114.534285,37.755638,河北省,石家庄市,元氏县,河北省
B0FFHFMECA,森马(信誉楼百货店),购物服务;服装鞋帽皮具店;品牌服装店,联盟街道中华北大街与柏林南路交口信誉楼高柱店4楼,114.477766,38.072643,河北省,石家庄市,新华区,河北省
B0FFGKJ5MN,森马(东岗路店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,北国商城益东百货购物中心B1层,114.554720,38.009990,河北省,石家庄市,裕华区,河北省
B01370TQJT,森马(东购店),购物服务;服装鞋帽皮具店;品牌服装店|购物服务;服装鞋帽皮具店;品牌鞋店,中山西路83号银座商城F1层,114.486312,38.044556,河北省,石家庄市,新华区,河北省
B0FFHUBCAV,森马(正定燕赵大街一店),购物服务;服装鞋帽皮具店;品牌服装店,燕赵南大街67号,114.569189,38.148959,河北省,石家庄市,正定县,河北省
B0FFHPUQ77,森马(汇华广场),购物服务;服装鞋帽皮具店;品牌服装店,红旗大街469号汇华广场2F层,114.460034,38.007921,河北省,石家庄市,桥西区,河北省
