senior_class,senior_id,content,product_name,market_price,order_overdue,price_min,sale_mode,saled,saled_fee,summary,url,utime,Img800
数码配件,89,办公周边,米物蓝牙双模键盘,249.0,3600,249.0,301,3278,78707348,蓝牙和2.4G(USB接收器)两种连接 一键切换 / 104键全尺寸 / 支持Windows、Mac、Android、iOS系统 / 软胶支架 可放置手机或平板 / 6°倾斜角 圆形按键 镭雕字符 / 带2节7号电池 低电量提醒,http://home.mi.com/shop/detail?gid=103354,20180926 11:24:32,https://img.youpin.mi-img.com/800_pic/f0e8202b192d68731248ff23f4294623.png
数码配件,89,办公周边,米物智能鼠标垫,249.0,3600,239.0,301,4817,96761861,支持Qi无线充电 适用小米MIX 2S / 竞赛级PC膜 / 旋钮可调灯光 / 德国红点设计大奖 / 长420mm 宽260mm,http://home.mi.com/shop/detail?gid=102480,20180914 00:10:28,http://img.youpin.mi-img.com/800_pic/101261_3j3z6qli9c2co.png
数码配件,89,办公周边,傲风有品定制电竞椅,999.0,5400,999.0,301,1494,143082032,加厚海绵坐垫 四级防爆气压杆 / 90°~155°调节 人体工学设计 / 五爪底盘 静音滚轮 可伸缩扶手 / 安装简单 游戏、办公、休息都舒服,http://home.mi.com/shop/detail?gid=102616,20181015 14:05:04,http://img.youpin.mi-img.com/800_pic/7bd6c7fdc80f98ef4626f6b9f2d50bca.png
数码配件,89,办公周边,小米无线鼠标,69.0,3600,69.0,483,1730,11258579,1200dpi精准定位，耐脏亲肤涂层，人体工学设计，握感舒适，1节5号电池，隐藏式无线接收器,http://home.mi.com/shop/detail?gid=103267,20181014 23:59:59,https://img.youpin.mi-img.com/800_pic/147b0d8f549179f41604fff65eae67fd.png
数码配件,89,办公周边,L-Stand笔记本电脑支架,49.0,3600,49.0,301,9692,44666891,高效散热 / 简约设计 / 稳固支撑 / 改善坐姿,http://home.mi.com/shop/detail?gid=102210,20181009 00:00:02,http://img.youpin.mi-img.com/800_pic/102210_948ea9831b94afe1eaac995656b972ae.png
数码配件,89,办公周边,手机及平板桌面支架,39.0,3600,39.0,301,35010,134341781,稳固不摇晃 / 优质航空铝材 / 释放双手 / 办公娱乐都轻松 / 大号支架适用12英寸以下 / 小号支架适用于7英寸以下,http://home.mi.com/shop/detail?gid=101485,20181009 00:00:04,https://img.youpin.mi-img.com/800_pic/ec3e1ad28b22a27ac43999ee4fbb43c3.png
数码配件,89,办公周边,TITA临时停车牌,39.0,3600,39.0,301,28101,100758278,号码随心换/可隐藏设计/软性硅胶贴/荧光更贴心,http://home.mi.com/shop/detail?gid=102097,20181009 00:00:03,http://img.youpin.mi-img.com/800_pic/75148078cf12bd849b84b24aba5eac27.png
数码配件,89,办公周边,小米便携鼠标,99.0,3600,99.0,483,2318,21983173,蓝牙或2.4G双模式 / 轻薄便携 / 铝合金外壳 / 标配2粒7号电池,http://home.mi.com/shop/detail?gid=103269,20181014 23:59:59,http://img.youpin.mi-img.com/800_pic/351_446f6b13f2bdc73b66243c3fde1b227c.png
数码配件,89,办公周边,海备思Type-C多功能转换器,199.0,3600,199.0,301,1783,32935138,PD供电 HDMI接口 USB3.0接口 SD卡槽 TF卡槽 / 六大接口 轻薄设计 合金外观 / 小巧不占地 随行易携带 / 无需驱动 即插即用 / 不支持小米红米手机,http://home.mi.com/shop/detail?gid=103314,20180930 15:57:51,https://img.youpin.mi-img.com/800_pic/023adcc3f6b2621e3c1c8f1a33955af0.png
数码配件,89,办公周边,米物电竞鼠标垫,49.0,3600,49.0,301,5556,23606320,竞赛级PC表面 / 吸盘式橡胶底垫 / 办公游戏两用 / 长355mm 宽255mm,http://home.mi.com/shop/detail?gid=102478,20181009 00:00:03,http://img.youpin.mi-img.com/800_pic/102478_7667dccc97f37e38624dfbba230fdabc.png
数码配件,89,办公周边,VH“悠”便携式手持风扇,49.0,3600,45.0,301,73901,323195210,7羽叶设计 / 无刷马达 / 小巧便携 / 三档风力 / 带底座 可立式放置,http://home.mi.com/shop/detail?gid=101809,20181009 00:00:04,http://img.youpin.mi-img.com/800_pic/92fb71846bd86660223592d67a68715a.png
数码配件,89,办公周边,笔记本电脑支架,129.0,3600,129.0,301,11440,962896615,人体工学设计，合理视角，稳固防滑,http://home.mi.com/shop/detail?gid=815,20181009 00:00:02,http://img.youpin.mi-img.com/800_pic/815_15ga99g299n9p.png
数码配件,89,办公周边,米物名片盒,49.0,3600,49.0,301,4765,21762732,机械按键 轻触弹出 / 铝合金外壳 时尚便携 商务范儿 / 可放置约16张名片或6张银行卡 / 厚度11.5mm 重量70.4g,http://home.mi.com/shop/detail?gid=103573,20181014 22:53:17,https://img.youpin.mi-img.com/800_pic/17df8a9424ac0f7164267520b0b16f40.png
数码配件,89,办公周边,小米无线鼠标青春版,49.0,3600,49.0,483,1369,6098522,握感舒适/轻巧省力/材质安全/1200dpi精准定位,http://home.mi.com/shop/detail?gid=103271,20181014 23:59:59,http://img.youpin.mi-img.com/800_pic/545e120323c83effc20e384232e16374.png
数码配件,89,办公周边,指思智能指纹鼠标,249.0,7200,249.0,301,1070,20262098,微软安全认证，快速识别，高识别率，三色可选,http://home.mi.com/shop/detail?gid=101589,20181009 00:08:04,https://img.youpin.mi-img.com/800_pic/b5df22c273c5b93e3a768e682e69afb8.png
数码配件,89,办公周边,小米游戏鼠标,249.0,3600,249.0,483,1072,22414028,有线or无线双模切换/7200DPI光学传感器/6个可编程按键/RGB炫彩灯光,http://home.mi.com/shop/detail?gid=103273,20181014 23:59:59,http://img.youpin.mi-img.com/800_pic/102134_5psq5rptgbm5.png
数码配件,89,办公周边,Edin笔记本立式支架,268.0,3600,199.0,301,687,12502331,铝合金材质/宽度可调/蜂窝式硅胶/极简设计,http://home.mi.com/shop/detail?gid=102218,20181009 00:00:03,http://img.youpin.mi-img.com/800_pic/102218_4acdf1ebd49a76834352592ae0c05c5c.png
数码配件,89,办公周边,Spider 显示器支架,199.0,3600,178.0,301,863,17911444,优化空间/一体成型/超强承重/极简设计,http://home.mi.com/shop/detail?gid=102212,20181009 00:00:03,http://img.youpin.mi-img.com/800_pic/102212_ff498ca5133fbfc33ab2a95c53f5e317.png
数码配件,89,办公周边,H-Stand 耳机支架,69.0,3600,69.0,301,1604,10266786,几何造型设计 / 稳定易放置 / 坚固便携,http://home.mi.com/shop/detail?gid=102216,20180920 00:34:47,http://img.youpin.mi-img.com/800_pic/102216_de226d35e7d5a9f20df71700202e2dbb.png
数码配件,89,办公周边,米家LED随身灯 增强版,19.9,3600,16.9,483,1949,3330440,5级亮度调节 / 亮度提升50% / 小巧轻便 / 可弯曲，适合多种使用场景,http://home.mi.com/shop/detail?gid=103310,20181016 00:00:08,https://img.youpin.mi-img.com/800_pic/573884a09fa1a8f51f87fe193eb3f6d9.png
