senior_class,senior_id,content,product_name,gid,market_price,order_overdue,price_min,sale_mode,sale_count,sale_fee,summary,url,start_time,Img800,comment_tag,create_time,end_time,one_size_pid,one_size_saled,one_size_inventory,one_size_name
服装配饰,93,新品推荐,3件装50次机洗不变形速干T恤 棉花史密斯,107233,129.0,7200,129.0,301,0,0,杜邦SORONA功能纱线，吸湿速干，持久保型,http://m.youpin.mi.com/shop/detail?gid=107233,00-00-00,https://img.youpin.mi-img.com/800_pic/edf088463e8ebd0f2072dff32e747195.png,,2019-05-22,00-00-00,45019,46,754,棉花史密斯50次机洗不变形T恤3件装白色 圆领*2 V领*1 L码
服装配饰,93,新品推荐,3件装50次机洗不变形速干T恤 棉花史密斯,107233,129.0,7200,129.0,301,0,0,杜邦SORONA功能纱线，吸湿速干，持久保型,http://m.youpin.mi.com/shop/detail?gid=107233,00-00-00,https://img.youpin.mi-img.com/800_pic/edf088463e8ebd0f2072dff32e747195.png,,2019-05-22,00-00-00,45018,23,777,棉花史密斯50次机洗不变形T恤3件装白色 圆领*2 V领*1 M码
服装配饰,93,新品推荐,3件装50次机洗不变形速干T恤 棉花史密斯,107233,129.0,7200,129.0,301,0,0,杜邦SORONA功能纱线，吸湿速干，持久保型,http://m.youpin.mi.com/shop/detail?gid=107233,00-00-00,https://img.youpin.mi-img.com/800_pic/edf088463e8ebd0f2072dff32e747195.png,,2019-05-22,00-00-00,45020,30,670,棉花史密斯50次机洗不变形T恤3件装白色 圆领*2 V领*1 XL码
服装配饰,93,新品推荐,3件装50次机洗不变形速干T恤 棉花史密斯,107233,129.0,7200,129.0,301,0,0,杜邦SORONA功能纱线，吸湿速干，持久保型,http://m.youpin.mi.com/shop/detail?gid=107233,00-00-00,https://img.youpin.mi-img.com/800_pic/edf088463e8ebd0f2072dff32e747195.png,,2019-05-22,00-00-00,45021,31,669,棉花史密斯50次机洗不变形T恤3件装白色 圆领*2 V领*1 XXL码
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44896,0,35,凡客女T恤心中有了结果 白色XL
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44885,2,158,凡客男士T恤 心中有了结果 黑色L
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44895,2,63,凡客女T恤心中有了结果 白色L
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44884,2,113,凡客男士T恤 心中有了结果 黑色M
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44898,1,74,凡客女T恤心中有了结果 黑色M
服装配饰,93,新品推荐,凡客T恤 心中有了结果,107214,39.0,7200,39.0,301,0,0,原创图案，纯棉透气，黑白两色,http://m.youpin.mi.com/shop/detail?gid=107214,00-00-00,https://img.youpin.mi-img.com/800_pic/c7a24ec77bcacb700d3ab6b9c67848a6.png,,2019-05-23,00-00-00,44887,2,73,凡客男士T恤 心中有了结果 黑色XXL
