stock,searchId,third_category_id,totalCount,seconde_title,one_category_bannerList,productId,productName,one_category_id,supplierName,searchTitle,link_Url,secondTitle,seconde_id,one_category_title,title,tagPrice,price,categoryLevel3Name,categoryLevel2Name,page_seq,mainImageUrl,vip_Price
3064,36,701,6,酒水,https://h5.yit.com//activity/4900.html,33331,客家米酒,115,北京山村风物商贸有限公司,米酒,https://h5.yit.com/product.html?product_id=33331,4种风味可选，清淡爽口、入口香甜，花香馥郁、色泽明丽，冷饮气味更为悠长,216,美食,客家米酒,9900,8800,米酒,酒,1,https://img01.yit.com/media/cb330779-602f-4f54-a9f0-3ef0c410c606.jpg,8360
995,36,701,6,酒水,https://h5.yit.com//activity/4900.html,87895,纯米酒套装礼盒两瓶装,115,广州观山生物科技有限公司,米酒,https://h5.yit.com/product.html?product_id=87895,两种口味，低度数不醉人，不加糖、酒精勾兑，纯手工制作，适合送礼,216,美食,纯米酒套装礼盒两瓶装,14900,14900,米酒,酒,1,https://img01.yit.com/media/67684894-764f-4f60-83fd-6ea99804718a.jpg,14155
996,36,701,6,酒水,https://h5.yit.com//activity/4900.html,87896,口感香甜、浓稠的纯米酒,115,广州观山生物科技有限公司,米酒,https://h5.yit.com/product.html?product_id=87896,酒精度9%vol，只用糙糯米制作，不加糖、酒精勾兑，纯手工酿造,216,美食,口感香甜、浓稠的纯米酒,29900,29900,米酒,酒,1,https://img01.yit.com/media/c5c20bce-234b-410e-a67c-fa195a2e1428.jpeg,28405
990,36,701,6,酒水,https://h5.yit.com//activity/4900.html,76919,清酿米酒,115,北京铟立方科技有限公司,米酒,https://h5.yit.com/product.html?product_id=76919,有玫瑰和桂花两种口味可选，精选原料，香气纯净浓郁，口感层次丰富,216,美食,清酿米酒,15900,9900,米酒,酒,1,https://img01.yit.com/media/d542a7c8-61d3-43a1-b888-4c1ae038593b.jpg,9405
991,36,701,6,酒水,https://h5.yit.com//activity/4900.html,87897,口感清爽、柔滑的纯米酒,115,广州观山生物科技有限公司,米酒,https://h5.yit.com/product.html?product_id=87897,酒精度12%vol，只用糙糯米制作，不加糖、酒精勾兑，纯手工酿造,216,美食,口感清爽、柔滑的纯米酒,29900,29900,米酒,酒,1,https://img01.yit.com/media/e1497129-030c-4af1-ac68-5f73a6b7be2b.jpeg,28405
1116,36,701,6,酒水,https://h5.yit.com//activity/4900.html,27128,五城米酒 古法制作,115,黄山市徽麓电子商务有限公司,米酒,https://h5.yit.com/product.html?product_id=27128,徽州特色、历经十余道工序，清冽甘甜、回味无穷,216,美食,五城米酒 古法制作,7900,6800,米酒,酒,1,https://img01.yit.com/media/2a0a8aa2-3564-4fb2-92f2-df88822fe2a9.jpg,6460
3178,35,701,14,酒水,https://h5.yit.com//activity/4900.html,51942,醇正鲜爽的地道绍兴黄酒,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=51942,2009年古法原浆酒，口感清爽、干净、无杂味，绍兴百年老酒厂会稽山出品,216,美食,醇正鲜爽的地道绍兴黄酒,178000,170000,黄酒,酒,1,https://img01.yit.com/media/35702268-5d15-43a8-a0d8-959c470c2107.jpg,161500
969,35,701,14,酒水,https://h5.yit.com//activity/4900.html,35891,客家火炙黄酒 三年陈,115,广州水牛电子商务有限公司,黄酒,https://h5.yit.com/product.html?product_id=35891,手工酿造，馥郁香气，小酌一口黄酒，口感浓厚,216,美食,客家火炙黄酒 三年陈,14900,13800,黄酒,酒,1,https://img01.yit.com/media/740173b0-d2ba-4be8-bf49-c8c5776b0cb5.jpg,13110
962,35,701,14,酒水,https://h5.yit.com//activity/4900.html,35892,客家火炙黄酒套装,115,广州水牛电子商务有限公司,黄酒,https://h5.yit.com/product.html?product_id=35892,手工酿造，馥郁香气，小酌一口黄酒，口感浓厚,216,美食,客家火炙黄酒套装,23700,20600,黄酒,酒,1,https://img01.yit.com/media/1cd49c7e-0e37-42e9-8899-41101236cf9f.jpg,19570
1869,35,701,14,酒水,https://h5.yit.com//activity/4900.html,54374,塔牌2003年冬酿黄酒,115,上海山月贸易有限公司,黄酒,https://h5.yit.com/product.html?product_id=54374,世间首创，仅3000瓶，陈酿了15年，香气浓郁，塔牌老厂长告别之作,216,美食,塔牌2003年冬酿黄酒,55000,52800,黄酒,酒,1,https://img01.yit.com/media/0417829b-c498-4322-b95e-b1179a3d0961.jpg,50160
