fexpand,fcode,fparentCode,fname,fsort,expand,code,parentCode,name,sort
Y,BENZHOUXINPIN20181210,,本周新品,2,,1421456916,BENZHOUXINPIN20181210,婴幼儿装 BABY,1
Y,BENZHOUXINPIN20181210,,本周新品,2,,1421456913,BENZHOUXINPIN20181210,男装 MEN,2
Y,BENZHOUXINPIN20181210,,本周新品,2,,1421456914,BENZHOUXINPIN20181210,女装 WOMEN,3
Y,BENZHOUXINPIN20181210,,本周新品,2,,1421456915,BENZHOUXINPIN20181210,童装  KIDS,4
Y,XIANSHITEYOU1207,,限时特优1207,3,,1421098446,XIANSHITEYOU1207,男装 MEN,1
Y,XIANSHITEYOU1207,,限时特优1207,3,,1421098447,XIANSHITEYOU1207,女装 WOMEN,2
Y,XIANSHITEYOU1207,,限时特优1207,3,,1421098448,XIANSHITEYOU1207,童装 KIDS,3
Y,XIANSHITEYOU1207,,限时特优1207,3,,1421098449,XIANSHITEYOU1207,婴幼儿装 BABY,4
Y,CHAOZHIJINGXUAN,,本周超值精选,4,,1292471262,CHAOZHIJINGXUAN,男装 MEN,1
Y,CHAOZHIJINGXUAN,,本周超值精选,4,,1292471261,CHAOZHIJINGXUAN,女装 WOMEN,2
Y,CHAOZHIJINGXUAN,,本周超值精选,4,,1292471263,CHAOZHIJINGXUAN,童装 KIDS,3
Y,CHAOZHIJINGXUAN,,本周超值精选,4,,1292471264,CHAOZHIJINGXUAN,婴幼儿装 BABY,4
N,NVZHUANG,,女装分类,5,,1151262668,NVZHUANG,女装-外套,1
N,NVZHUANG,,女装分类,5,,1397552623,NVZHUANG,女装-大衣,2
N,NVZHUANG,,女装分类,5,,1039844181,NVZHUANG,女装-羽绒服,3
N,NVZHUANG,,女装分类,5,,1384174940,NVZHUANG,女装-高级轻型羽绒服,4
N,NVZHUANG,,女装分类,5,,1334712165,NVZHUANG,女装-运动衫/运动裤,5
N,NVZHUANG,,女装分类,5,,97377368,NVZHUANG,女装-针织衫,6
N,NVZHUANG,,女装分类,5,,97377401,NVZHUANG,女装-衬衫,7
N,NVZHUANG,,女装分类,5,,1336179279,NVZHUANG,女装-孕妇装,8
N,NVZHUANG,,女装分类,5,,97377387,NVZHUANG,女装-牛仔裤,9
N,NVZHUANG,,女装分类,5,,1149298550,NVZHUANG,女装-T恤,10
N,NVZHUANG,,女装分类,5,,128557729,NVZHUANG,女装-紧身裤,11
N,NVZHUANG,,女装分类,5,,1292576630,NVZHUANG,女装-休闲裤,12
N,NVZHUANG,,女装分类,5,,1266373692,NVZHUANG,女装-九分裤,13
N,NVZHUANG,,女装分类,5,,1334494656,NVZHUANG,女装-高腰下装,14
N,NVZHUANG,,女装分类,5,,875106724,NVZHUANG,女装-半裙,15
N,NVZHUANG,,女装分类,5,,408990854,NVZHUANG,女装-连衣裙,16
N,NVZHUANG,,女装分类,5,,1361253725,NVZHUANG,女装-短裤,17
N,NVZHUANG,,女装分类,5,,517935256,NVZHUANG,女装-袜子/紧身裤,18
N,NVZHUANG,,女装分类,5,,1338678612,NVZHUANG,女装-鞋子,19
N,NVZHUANG,,女装分类,5,,97377382,NVZHUANG,女装-起居服,20
N,NVZHUANG,,女装分类,5,,1269380824,NVZHUANG,女装-UPJ系列,21
N,NVZHUANG,,女装分类,5,,1267791863,NVZHUANG,女装-运动系列,22
N,NVZHUANG,,女装分类,5,,1385650258,NVZHUANG,女装-EZY九分裤系列,23
N,NVZHUANG,,女装分类,5,,1364174344,NVZHUANG,女装-蕾丝系列,24
N,NVZHUANG,,女装分类,5,,1393960416,NVZHUANG,女装-IDLF系列,25
N,NVZHUANG,,女装分类,5,,1385604102,NVZHUANG,女装-法兰绒系列,26
N,NVZHUANG,,女装分类,5,,1397552622,NVZHUANG,女装-3D系列,27
N,NVZHUANG,,女装分类,5,,841653642,NVZHUANG,女装-AIRism(舒爽舒适系列),28
N,NVZHUANG,,女装分类,5,,97377375,NVZHUANG,女装-BRA IN ONE(舒美衣系列),29
N,NVZHUANG,,女装分类,5,,1299858389,NVZHUANG,女装-HEATTECH（温暖内衣系列）,30
N,NVZHUANG,,女装分类,5,,275755161,NVZHUANG,女装-文胸,31
N,NVZHUANG,,女装分类,5,,367551022,NVZHUANG,女装-内裤,32
N,NVZHUANG,,女装分类,5,,845044306,NVZHUANG,女装-内衣,33
N,NVZHUANG,,女装分类,5,,97377385,NVZHUANG,女装-配件,34
N,NVZHUANG,,女装分类,5,,1380827207,NVZHUANG,女装-腰带,35
N,NVZHUANG,,女装分类,5,,1399858184,NVZHUANG,女装-灯芯绒系列,36
N,NVZHUANG,,女装分类,5,,1403273798,NVZHUANG,女装-仿羊羔绒系列,37
N,NVZHUANG,,女装分类,5,,1403274406,NVZHUANG,女装-摇粒绒系列,38
N,NVZHUANG,,女装分类,5,,1405639997,NVZHUANG,女装-宽腿裤,39
N,NVZHUANG,,女装分类,5,,10000200,NVZHUANG,女装-APJ系列,40
N,NVZHUANG,,女装分类,5,,1420244555,NVZHUANG,女装-束脚裤,41
N,NANZHUANG,,男装分类,6,,841653643,NANZHUANG,男装-AIRism(舒爽舒适系列),1
N,NANZHUANG,,男装分类,6,,1278981046,NANZHUANG,男装-blocktech,2
N,NANZHUANG,,男装分类,6,,1299866055,NANZHUANG,男装-HEATTECH（温暖内衣系列）,3
N,NANZHUANG,,男装分类,6,,1361489267,NANZHUANG,男装-POLO衫,4
N,NANZHUANG,,男装分类,6,,874111128,NANZHUANG,男装-SUPIMA COTTON 系列,5
N,NANZHUANG,,男装分类,6,,1151178896,NANZHUANG,男装-T恤/背心,6
N,NANZHUANG,,男装分类,6,,1294074993,NANZHUANG,男装-UPJ系列,7
N,NANZHUANG,,男装分类,6,,108492555,NANZHUANG,男装-衬衫(商务),8
N,NANZHUANG,,男装分类,6,,108492551,NANZHUANG,男装-衬衫(休闲),9
N,NANZHUANG,,男装分类,6,,1301860003,NANZHUANG,男装-九分裤,10
N,NANZHUANG,,男装分类,6,,1372457349,NANZHUANG,男装-快干弹力裤装系列,11
N,NANZHUANG,,男装分类,6,,368897610,NANZHUANG,男装-内裤,12
N,NANZHUANG,,男装分类,6,,1311454814,NANZHUANG,男装-内衣,13
N,NANZHUANG,,男装分类,6,,97377023,NANZHUANG,男装-牛仔裤,14
N,NANZHUANG,,男装分类,6,,97377021,NANZHUANG,男装-配件,15
N,NANZHUANG,,男装分类,6,,97377019,NANZHUANG,男装-起居系列,16
N,NANZHUANG,,男装分类,6,,1197638663,NANZHUANG,男装-束脚裤,17
N,NANZHUANG,,男装分类,6,,1368888749,NANZHUANG,男装-斯文系列,18
N,NANZHUANG,,男装分类,6,,511241072,NANZHUANG,男装-袜子,19
N,NANZHUANG,,男装分类,6,,251838184,NANZHUANG,男装-外套,20
N,NANZHUANG,,男装分类,6,,1278985666,NANZHUANG,男装-无褶长裤/卡其裤,21
N,NANZHUANG,,男装分类,6,,1343790048,NANZHUANG,男装-羊毛茄克·大衣,22
N,NANZHUANG,,男装分类,6,,1380848331,NANZHUANG,男装-腰带,23
N,NANZHUANG,,男装分类,6,,1334904291,NANZHUANG,男装-运动衫/运动裤,24
N,NANZHUANG,,男装分类,6,,1006610470,NANZHUANG,男装-运动系列,25
N,NANZHUANG,,男装分类,6,,768561185,NANZHUANG,男装-长裤,26
N,NANZHUANG,,男装分类,6,,1112848946,NANZHUANG,男装-针织衫,27
N,NANZHUANG,,男装分类,6,,1361354725,NANZHUANG,男装-中裤短裤,28
N,NANZHUANG,,男装分类,6,,1392207544,NANZHUANG,男装-法兰绒衬衫,29
N,NANZHUANG,,男装分类,6,,1394884301,NANZHUANG,男装-灯芯绒衬衫,30
