first_category_code,first_category_name,second_category_code,second_category_name,productName,littlecode,sales,mainPic,season,originPrice,preSaleName,littlename,minPrice,sex,styleText,material,categoryCode,productCode,label,size
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰棉质大摆裙 412872,412872,1036,/hmall/test/u0000000000673/main/first/561/1.jpg,2018年秋季,199.0,,高腰棉质大摆裙,99.0,女装,"['32 深米色', '35 浅褐色']",棉,"['1292471261', '1334494656', '875106724', 'ALL']",u0000000000673,concessional_rate,"['SMA003', 'SMA004', 'SMA005']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 弹力裙 409372,409372,224,/hmall/test/u0000000000389/main/first/561/1.jpg,2018年秋季,199.0,,弹力裙,199.0,女装,"['09 黑色', '69 藏青色']",聚酯纤维,"['1421213597', '875106724', 'ALL']",u0000000000389,,"['CMD058', 'CMD061', 'CMD064']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 针织紧身裙 408742,408742,932,/hmall/test/u0000000000090/main/first/561/1.jpg,2018年秋季,149.0,,针织紧身裙,59.0,女装,['19 酒红色'],粘纤,"['875106724', 'ALL']",u0000000000090,concessional_rate,"['SMA003', 'SMA004', 'SMA005', 'SMA006']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 弹力裙 416415,416415,5,/hmall/test/u0000000004434/main/first/561/1.jpg,2019年春季,199.0,,弹力裙,199.0,女装,"['05 天灰色', '08 深灰色', '09 黑色', '68 深蓝色', '69 藏青色']",聚酯纤维,"['1421456914', '1419837875', 'ALL', '875106724']",u0000000004434,new_product,"['CMD058', 'CMD061', 'CMD064', 'CMD070', 'CMD067']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 前排扣大摆裙 417764,417764,6,/hmall/test/u0000000004271/main/first/561/1.jpg,2019年夏季,199.0,,前排扣大摆裙,199.0,女装,"['04 烟灰色', '63 天蓝色']",棉,"['1421456914', '1419837875', 'ALL', '875106724']",u0000000004271,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 窄身裙 417641,417641,6,/hmall/test/u0000000004392/main/first/561/1.jpg,2019年春季,199.0,,窄身裙,199.0,女装,['69 藏青色'],聚酯纤维,"['1421456914', '1419837875', 'ALL', '875106724']",u0000000004392,new_product,"['SMA003', 'SMA004']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 窄身裙 417640,417640,3,/hmall/test/u0000000004404/main/first/561/1.jpg,2019年春季,199.0,,窄身裙,199.0,女装,['32 深米色'],聚酯纤维,"['1421456914', '1419837875', 'ALL', '875106724']",u0000000004404,new_product,"['SMA003', 'SMA004', 'SMA005']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 窄身裙 417639,417639,5,/hmall/test/u0000000004379/main/first/561/1.jpg,2019年春季,199.0,,窄身裙,199.0,女装,['04 烟灰色'],聚酯纤维,"['1421456914', '1419837875', 'ALL', '875106724']",u0000000004379,new_product,"['SMA003', 'SMA004', 'SMA005']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 窄身裙 417638,417638,1,/hmall/test/u0000000004383/main/first/561/1.jpg,2019年春季,199.0,,窄身裙,199.0,女装,['03 灰色'],聚酯纤维,"['1421456914', '1419837875', 'ALL', '875106724']",u0000000004383,new_product,"['SMA003', 'SMA004', 'SMA005']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 前排扣大摆裙 416218,416218,6,/hmall/test/u0000000004386/main/first/561/1.jpg,2019年夏季,199.0,,前排扣大摆裙,199.0,女装,"['00 白色', '69 藏青色', '70 浅紫色']",棉,"['1421456914', '1419837875', 'ALL', '875106724']",u0000000004386,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 前排扣大摆裙 417763,417763,10,/hmall/test/u0000000005164/main/first/561/1.jpg,2019年夏季,199.0,,前排扣大摆裙,199.0,女装,"['30 浅米色', '69 藏青色']",棉,"['1421456914', 'ALL', '875106724', '1419837875']",u0000000005164,new_product,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 针织裙(水洗产品) 417853,417853,199,/hmall/test/u0000000003932/main/first/561/1.jpg,2019年春季,149.0,,针织裙(水洗产品),149.0,女装,"['01 乳白色', '09 黑色', '67 海蓝色']",棉,"['ALL', '875106724']",u0000000003932,,"['SMA002', 'SMA003', 'SMA004', 'SMA005', 'SMA006']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 前排扣牛仔裙(水洗产品) 415490,415490,336,/hmall/test/u0000000003824/main/first/561/1.jpg,2019年春季,199.0,,前排扣牛仔裙(水洗产品),199.0,女装,"['09 黑色', '67 海蓝色', '68 深蓝色', '00 白色']",棉,"['ALL', '875106724']",u0000000003824,,"['CMD058', 'CMD061', 'CMD064', 'CMD067', 'CMD070']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰棉质大摆裙 415132,415132,690,/hmall/test/u0000000002762/main/first/561/1.jpg,2018年秋季,199.0,,高腰棉质大摆裙,59.0,女装,['09 黑色'],棉,"['875106724', 'ALL']",u0000000002762,concessional_rate,['SMA003']
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰羊毛混纺迷你裙 413834,413834,398,/hmall/test/u0000000002010/main/first/561/1.jpg,2018年冬季,249.0,,高腰羊毛混纺迷你裙,149.0,女装,['15 珊瑚红色'],聚酯纤维,"['3000062', '3000205', '1334494656', '875106724', 'ALL', '1421174376']",u0000000002010,active_tags,"['CMD064', 'CMD067']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 防风保暖裹裙 409073,409073,255,/hmall/test/u0000000002005/main/first/561/1.jpg,2018年秋季,249.0,,防风保暖裹裙,179.0,女装,"['05 天灰色', '31 米色', '56 橄榄色']",聚酯纤维,"['1421213597', '3000062', '3000205', '875106724', 'ALL', '1292471261']",u0000000002005,active_tags,"['SMA003', 'SMA004', 'SMA005']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 仿羊羔绒运动裙 408695,408695,993,/hmall/test/u0000000001717/main/first/561/1.jpg,2018年冬季,149.0,,仿羊羔绒运动裙,99.0,女装,"['06 铅灰色', '09 黑色', '69 藏青色']",聚酯纤维,"['1267791863', '875106724', 'ALL']",u0000000001717,concessional_rate,"['SMA004', 'SMA005', 'SMA006', 'SMA003']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰羊毛混纺喇叭裙 409072,409072,4996,/hmall/test/u0000000001421/main/first/561/1.jpg,2018年秋季,299.0,,高腰羊毛混纺喇叭裙,149.0,女装,['19 酒红色'],聚酯纤维,"['1421213597', '3000062', '3000205', 'ALL', '1334494656', '875106724', '1292471261']",u0000000001421,active_tags,"['SMA003', 'SMA004', 'SMA005']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰羊毛混纺迷你裙 409504,409504,980,/hmall/test/u0000000001404/main/first/561/1.jpg,2018年冬季,249.0,,高腰羊毛混纺迷你裙,149.0,女装,"['08 深灰色', '09 黑色']",聚酯纤维,"['1421213597', '3000062', '3000205', 'ALL', '1334494656', '875106724']",u0000000001404,active_tags,"['CMD058', 'CMD061', 'CMD064', 'CMD067', 'CMD070']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰羊毛混纺迷你裙 412739,412739,1719,/hmall/test/u0000000001381/main/first/561/1.jpg,2018年冬季,249.0,,高腰羊毛混纺迷你裙,149.0,女装,['03 灰色'],聚酯纤维,"['3000062', '3000205', '1334494656', '875106724', 'ALL']",u0000000001381,active_tags,['CMD064']
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰羊毛混纺迷你裙 412671,412671,1727,/hmall/test/u0000000001369/main/first/561/1.jpg,2018年冬季,249.0,,高腰羊毛混纺迷你裙,149.0,女装,['19 酒红色'],聚酯纤维,"['3000062', '3000205', '1334494656', '875106724', 'ALL', '1421174376']",u0000000001369,active_tags,"['CMD061', 'CMD064']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰灯芯绒前排扣裙 412673,412673,1438,/hmall/test/u0000000000999/main/first/561/1.jpg,2018年秋季,199.0,,高腰灯芯绒前排扣裙,99.0,女装,"['18 暗红色', '35 浅褐色', '58 深绿色']",棉,"['3000062', '3000205', '1334494656', '1399858184', '875106724', 'ALL', '1292471261']",u0000000000999,active_tags,"['SMA004', 'SMA005', 'SMA003']"
NVZHUANG,女装分类,875106724,女装-半裙,女装 高腰羊毛混纺紧身裙 409971,409971,252,/hmall/test/u0000000000829/main/first/561/1.jpg,2018年冬季,249.0,,高腰羊毛混纺紧身裙,199.0,女装,['69 藏青色'],聚酯纤维,"['1334494656', '875106724', 'ALL']",u0000000000829,concessional_rate,"['SMA003', 'SMA004']"
