Fid	name	name_en	name_py	Fprovince_cn	Fweathercn	Filter
2	北京市	Beijing	beijingshi	北京市	101010100	北京市
3	北京市朝阳区	Chaoyang District	beijingshichaoyangqu	北京市	101010300	
4	北京市通州区	Tongzhou District	beijingshitongzhouqu	北京市	101010600	
5	昌平区	Changping District	changpingqu	北京市	101010700	
6	顺义区	Shunyi District	shunyiqu	北京市	101010400	
7	怀柔区	Huairou District	huairouqu	北京市	101010500	
8	大兴区	Daxing District	daxingqu	北京市	101011100	
9	平谷区	Pinggu District	pingguqu	北京市	101011500	
10	密云区	Miyun District	miyunqu	北京市	101011300	
11	延庆区	Yanqing District	yanqingqu	北京市	101010800	
12	丰台区	Fengtai District	fengtaiqu	北京市	101010900	
13	石景山区	Shijingshan District	shijingshanqu	北京市	101011000	
14	房山区	Fangshan District	fangshanqu	北京市	101011200	
15	门头沟区	Mentougou District	mentougouqu	北京市	101011400	
16	八达岭	Badaling	badaling	北京市	101010800	
17	佛爷顶	Foyeding	foyeding	北京市	101010800	
18	汤河口	Tanghekou	tanghekou	北京市	101010500	
20	斋堂	Zhaitang	zhaitang	北京市	101011400	
21	霞云岭	Xiayunling	xiayunling	北京市	101011200	
22	海淀区	Haidian District	haidianqu	北京市	101010200	
24	天津市	Tianjin	tianjinshi	天津市	101030100	天津市
25	宝坻区	Baodi District	baodiqu	天津市	101030300	
26	武清区	Wuqing District	wuqingqu	天津市	101030200	
27	宁河区	Ninghe District	ninghequ	天津市	101030700	
28	静海区	Jinghai District	jinghaiqu	天津市	101030900	
29	蓟州区	Jizhou district	jizhouqu	天津市	101031400	
30	东丽区	Dongli District	dongliqu	天津市	101030400	
31	西青区	Xiqing District	xiqingqu	天津市	101030500	
32	北辰区	Beichen District	beichenqu	天津市	101030600	
33	汉沽区（现滨海新区）	Hangu District	hangu	天津市	101031100	
34	津南区	Jinnan District	jinnanqu	天津市	101031000	
35	塘沽区（现滨海新区）	Tanggu District	tanggu	天津市	101031100	
36	大港区（现滨海新区）	Dagang District	dagang	天津市	101031100	
37	滨海新区	Binhai New District	binhaixinqu	天津市	101031100	
39	上海市	Shanghai	shanghaishi	上海市	101020100	上海市
40	嘉定区	Jiading District	jiadingqu	上海市	101020500	
41	浦东新区	Pudong New District	pudongxinqu	上海市	101020600	
42	金山区	Jinshan District	jinshanqu	上海市	101020700	
43	松江区	Songjiang District	songjiangqu	上海市	101020900	
44	青浦区	Qingpu District	qingpuqu	上海市	101020800	
45	南汇区（现浦东新区）	Nanhui District	nanhui	上海市	101020600	
46	奉贤区	Fengxian District	fengxianqu	上海市	101021000	
47	崇明区	Chongming district	chongmingqu	上海市	101021100	
48	上海市宝山区	Baoshan District	shanghaishibaoshanqu	上海市	101020300	
49	徐汇区	Xuhui District	xuhuiqu	上海市	101021200	
50	闵行区	Minhang District	minhangqu	上海市	101020200	
52	重庆市	Chongqing	chongqingshi	重庆市	101040100	重庆市
53	黔江区	Qianjiang District	qianjiangqu	重庆市	101041100	
54	北碚区	Beibei District	beibeiqu	重庆市	101040800	
57	巴南区	Banan District	bananqu	重庆市	101040900	
59	长寿区	Changshou District	changshouqu	重庆市	101041000	
