,conditionDay,conditionIdDay,conditionIdNight,conditionNight,moonphase,moonrise,moonset,predictDate,sunrise,sunset,tempDay,tempNight,updatetime,windDirDay,windDirNight,windLevelDay,windLevelNight,windSpeedDay,windSpeedNight,cityid,name,pname
0,多云,1,33,阵雨,New,2018-11-07 06:06:00,2018-11-07 17:58:00,2018-11-07,2018-11-07 06:43:00,2018-11-07 18:02:00,28,23,2018-11-07 23:07:00,东北风,东北风,3-4,3-4,5.6,5.6,1020,海口市,海南省
1,阵雨,3,33,阵雨,WaxingCrescent,2018-11-08 07:03:00,2018-11-08 18:41:00,2018-11-08,2018-11-08 06:44:00,2018-11-08 18:01:00,27,24,2018-11-08 15:14:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
2,多云,1,31,多云,WaxingCrescent,2018-11-09 07:58:00,2018-11-09 19:26:00,2018-11-09,2018-11-09 06:44:00,2018-11-09 18:01:00,27,24,2018-11-08 15:14:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
3,多云,1,30,晴,WaxingCrescent,2018-11-10 08:53:00,2018-11-10 20:13:00,2018-11-10,2018-11-10 06:45:00,2018-11-10 18:01:00,28,23,2018-11-08 15:14:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
4,多云,1,30,晴,WaxingCrescent,2018-11-11 09:46:00,2018-11-11 21:02:00,2018-11-11,2018-11-11 06:45:00,2018-11-11 18:00:00,29,22,2018-11-08 15:14:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
5,阵雨,3,33,阵雨,WaxingCrescent,2018-11-12 10:37:00,2018-11-12 21:51:00,2018-11-12,2018-11-12 06:46:00,2018-11-12 18:00:00,28,23,2018-11-08 15:14:00,东北风,北风,3-4,2,5.6,2.4,1020,海口市,海南省
6,阵雨,3,33,阵雨,WaxingCrescent,2018-11-13 11:26:00,2018-11-13 22:42:00,2018-11-13,2018-11-13 06:46:00,2018-11-13 18:00:00,28,24,2018-11-08 15:14:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
7,阵雨,3,7,小雨,WaxingCrescent,2018-11-14 12:11:00,2018-11-14 23:32:00,2018-11-14,2018-11-14 06:47:00,2018-11-14 17:59:00,28,22,2018-11-08 15:14:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
8,雨,8,31,多云,First,2018-11-15 12:53:00,2018-11-15 00:22:00,2018-11-15,2018-11-15 06:47:00,2018-11-15 17:59:00,27,23,2018-11-08 14:25:00,东南风,东南风,3-4,3,5.6,4.4,1020,海口市,海南省
9,雨,8,31,多云,WaxingGibbous,2018-11-16 13:33:00,2018-11-16 00:22:00,2018-11-16,2018-11-16 06:48:00,2018-11-16 17:59:00,28,24,2018-11-08 14:25:00,东南风,南风,3,3,4.4,4.4,1020,海口市,海南省
10,雨,8,8,雨,WaxingGibbous,2018-11-17 14:11:00,2018-11-17 01:13:00,2018-11-17,2018-11-17 06:49:00,2018-11-17 17:59:00,28,24,2018-11-08 14:25:00,东北风,东北风,3,3,4.4,4.4,1020,海口市,海南省
11,雨,8,8,雨,WaxingGibbous,2018-11-18 14:48:00,2018-11-18 02:03:00,2018-11-18,2018-11-18 06:49:00,2018-11-18 17:58:00,27,23,2018-11-08 14:25:00,东北风,东风,3-4,3,5.6,4.4,1020,海口市,海南省
12,雨,8,8,雨,WaxingGibbous,2018-11-19 15:26:00,2018-11-19 02:53:00,2018-11-19,2018-11-19 06:50:00,2018-11-19 17:58:00,27,23,2018-11-08 14:25:00,东风,东风,3-4,3,5.6,4.4,1020,海口市,海南省
13,雨,8,8,雨,WaxingGibbous,2018-11-20 16:04:00,2018-11-20 03:45:00,2018-11-20,2018-11-20 06:50:00,2018-11-20 17:58:00,27,23,2018-11-08 14:25:00,东风,东风,3-4,3-4,5.6,5.6,1020,海口市,海南省
