year	month	day	tianqi_am	max_tm	min_tm	name_ori	pname	name_deal	name
2018	11	26	多云	23	17	东莞市	广东	东莞	东莞
2018	11	27	阴	23	17	东莞市	广东	东莞	东莞
2018	11	28	阴	22	14	东莞市	广东	东莞	东莞
2018	11	29	多云	24	16	东莞市	广东	东莞	东莞
2018	11	30	多云	25	17	东莞市	广东	东莞	东莞
2018	12	1	小雨	21	15	东莞市	广东	东莞	东莞
2018	12	2	多云	24	17	东莞市	广东	东莞	东莞
2018	12	3	多云	25	19	东莞市	广东	东莞	东莞
2018	12	4	雨	27	20	东莞市	广东	东莞	东莞
2018	12	5	雨	27	19	东莞市	广东	东莞	东莞
2018	12	6	雨	25	16	东莞市	广东	东莞	东莞
2018	12	7	多云	24	17	东莞市	广东	东莞	东莞
2018	12	8	雨	25	19	东莞市	广东	东莞	东莞
2018	12	9	雨	25	19	东莞市	广东	东莞	东莞
2018	12	10	雨	25	19	东莞市	广东	东莞	东莞
2018	12	11	雨	24	18	东莞市	广东	东莞	东莞
2018	11	26	小雨	21	17	揭阳市	广东	揭阳	揭阳
2018	11	27	阵雨	22	16	揭阳市	广东	揭阳	揭阳
2018	11	28	阴	23	15	揭阳市	广东	揭阳	揭阳
2018	11	29	多云	24	13	揭阳市	广东	揭阳	揭阳
2018	11	30	多云	24	14	揭阳市	广东	揭阳	揭阳
2018	12	1	晴	24	16	揭阳市	广东	揭阳	揭阳
2018	12	2	晴	26	17	揭阳市	广东	揭阳	揭阳
2018	12	3	阴	23	15	揭阳市	广东	揭阳	揭阳
2018	12	4	雨	26	20	揭阳市	广东	揭阳	揭阳
2018	12	5	雨	25	18	揭阳市	广东	揭阳	揭阳
2018	12	6	雨	24	16	揭阳市	广东	揭阳	揭阳
2018	12	7	雨	22	17	揭阳市	广东	揭阳	揭阳
2018	12	8	阴	24	18	揭阳市	广东	揭阳	揭阳
2018	12	9	雨	25	19	揭阳市	广东	揭阳	揭阳
2018	12	10	雨	22	19	揭阳市	广东	揭阳	揭阳
2018	12	11	雨	23	18	揭阳市	广东	揭阳	揭阳
2018	11	26	阴	23	20	海口市	海南	海口	海口
2018	11	27	阵雨	23	19	海口市	海南	海口	海口
2018	11	28	阵雨	23	19	海口市	海南	海口	海口
2018	11	29	中雨	23	20	海口市	海南	海口	海口
2018	11	30	阵雨	24	20	海口市	海南	海口	海口
2018	12	1	阵雨	25	19	海口市	海南	海口	海口
2018	12	2	阵雨	26	21	海口市	海南	海口	海口
2018	12	3	阵雨	28	23	海口市	海南	海口	海口
2018	12	4	阴	26	22	海口市	海南	海口	海口
2018	12	5	多云	26	22	海口市	海南	海口	海口
2018	12	6	阴	25	21	海口市	海南	海口	海口
2018	12	7	雨	25	22	海口市	海南	海口	海口
2018	12	8	雨	27	22	海口市	海南	海口	海口
2018	12	9	雨	26	22	海口市	海南	海口	海口
2018	12	10	雨	26	22	海口市	海南	海口	海口
2018	12	11	雨	27	22	海口市	海南	海口	海口
2018	11	26	多云	18	8	南京市	江苏	南京	南京
2018	11	27	多云	16	7	南京市	江苏	南京	南京
2018	11	28	多云	16	7	南京市	江苏	南京	南京
2018	11	29	多云	17	8	南京市	江苏	南京	南京
2018	11	30	多云	18	9	南京市	江苏	南京	南京
2018	12	1	多云	17	11	南京市	江苏	南京	南京
