,conditionDay,conditionIdDay,conditionIdNight,conditionNight,moonphase,moonrise,moonset,predictDate,sunrise,sunset,tempDay,tempNight,updatetime,windDirDay,windDirNight,windLevelDay,windLevelNight,windSpeedDay,windSpeedNight,cityid,name,pname
0,阴,2,2,阴,New,2019-01-06 07:05:00,2019-01-06 18:07:00,2019-01-06,2019-01-06 07:07:00,2019-01-06 17:54:00,18,13,2019-01-06 23:06:00,东北风,东北风,1,1,0.9,0.9,1000,东莞市,广东省
1,阴,2,2,阴,WaxingCrescent,2019-01-07 07:53:00,2019-01-07 18:58:00,2019-01-07,2019-01-07 07:07:00,2019-01-07 17:55:00,21,14,2019-01-07 13:07:00,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
2,阴,2,2,阴,WaxingCrescent,2019-01-08 08:37:00,2019-01-08 19:49:00,2019-01-08,2019-01-08 07:08:00,2019-01-08 17:55:00,19,15,2019-01-07 13:07:00,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
3,阴,2,2,阴,WaxingCrescent,2019-01-09 09:18:00,2019-01-09 20:40:00,2019-01-09,2019-01-09 07:08:00,2019-01-09 17:56:00,21,14,2019-01-07 13:07:00,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
4,小雨,7,2,阴,WaxingCrescent,2019-01-10 09:56:00,2019-01-10 21:31:00,2019-01-10,2019-01-10 07:08:00,2019-01-10 17:57:00,23,17,2019-01-07 13:07:00,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
5,阴,2,2,阴,WaxingCrescent,2019-01-11 10:33:00,2019-01-11 22:21:00,2019-01-11,2019-01-11 07:08:00,2019-01-11 17:57:00,24,18,2019-01-07 13:07:00,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
6,阴,2,2,阴,WaxingCrescent,2019-01-12 11:08:00,2019-01-12 23:11:00,2019-01-12,2019-01-12 07:08:00,2019-01-12 17:58:00,25,16,2019-01-07 13:07:00,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
7,阴,2,31,多云,WaxingCrescent,2019-01-13 11:42:00,2019-01-13 00:02:00,2019-01-13,2019-01-13 07:08:00,2019-01-13 17:59:00,23,12,2019-01-07 13:07:00,北风,北风,2,2,2.4,2.4,1000,东莞市,广东省
8,阴,2,2,阴,First,2019-01-14 12:17:00,2019-01-14 00:02:00,2019-01-14,2019-01-14 07:08:00,2019-01-14 18:00:00,20,13,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
9,多云,1,31,多云,WaxingGibbous,2019-01-15 12:54:00,2019-01-15 00:54:00,2019-01-15,2019-01-15 07:08:00,2019-01-15 18:00:00,22,13,2019-01-07 12:16:00,北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
10,晴,0,8,雨,WaxingGibbous,2019-01-16 13:35:00,2019-01-16 01:49:00,2019-01-16,2019-01-16 07:08:00,2019-01-16 18:01:00,19,11,2019-01-07 12:16:00,东北风,北风,3,3,4.4,4.4,1000,东莞市,广东省
11,雨,8,2,阴,WaxingGibbous,2019-01-17 14:19:00,2019-01-17 02:46:00,2019-01-17,2019-01-17 07:08:00,2019-01-17 18:02:00,18,10,2019-01-07 12:16:00,北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
12,阴,2,2,阴,WaxingGibbous,2019-01-18 15:10:00,2019-01-18 03:47:00,2019-01-18,2019-01-18 07:08:00,2019-01-18 18:02:00,16,7,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
13,多云,1,31,多云,WaxingGibbous,2019-01-19 16:06:00,2019-01-19 04:50:00,2019-01-19,2019-01-19 07:08:00,2019-01-19 18:03:00,17,8,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
14,阴,2,31,多云,WaxingGibbous,2019-01-20 17:09:00,2019-01-20 05:53:00,2019-01-20,2019-01-20 07:08:00,2019-01-20 18:04:00,18,8,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
15,多云,1,31,多云,Full,2019-01-21 18:15:00,2019-01-21 06:55:00,2019-01-21,2019-01-21 07:08:00,2019-01-21 18:04:00,18,11,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1000,东莞市,广东省
16,小雨,7,31,多云,New,2019-01-06 06:55:00,2019-01-06 17:55:00,2019-01-06,2019-01-06 06:58:00,2019-01-06 17:42:00,20,13,2019-01-06 23:07:00,东北风,东北风,1,1,0.9,0.9,1008,揭阳市,广东省
17,阴,2,2,阴,WaxingCrescent,2019-01-07 07:43:00,2019-01-07 18:46:00,2019-01-07,2019-01-07 06:58:00,2019-01-07 17:43:00,19,15,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1008,揭阳市,广东省
18,阴,2,2,阴,WaxingCrescent,2019-01-08 08:27:00,2019-01-08 19:38:00,2019-01-08,2019-01-08 06:58:00,2019-01-08 17:44:00,20,15,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1008,揭阳市,广东省
19,多云,1,31,多云,WaxingCrescent,2019-01-09 09:08:00,2019-01-09 20:29:00,2019-01-09,2019-01-09 06:58:00,2019-01-09 17:44:00,20,15,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1008,揭阳市,广东省
20,多云,1,31,多云,WaxingCrescent,2019-01-10 09:46:00,2019-01-10 21:19:00,2019-01-10,2019-01-10 06:58:00,2019-01-10 17:45:00,23,17,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1008,揭阳市,广东省
21,多云,1,31,多云,WaxingCrescent,2019-01-11 10:22:00,2019-01-11 22:10:00,2019-01-11,2019-01-11 06:59:00,2019-01-11 17:46:00,24,17,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1008,揭阳市,广东省
22,多云,1,31,多云,WaxingCrescent,2019-01-12 10:57:00,2019-01-12 23:00:00,2019-01-12,2019-01-12 06:59:00,2019-01-12 17:47:00,26,16,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1008,揭阳市,广东省
23,多云,1,7,小雨,WaxingCrescent,2019-01-13 11:31:00,2019-01-13 23:51:00,2019-01-13,2019-01-13 06:59:00,2019-01-13 17:47:00,22,13,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1008,揭阳市,广东省
24,阴,2,31,多云,First,2019-01-14 12:06:00,2019-01-14 00:43:00,2019-01-14,2019-01-14 06:59:00,2019-01-14 17:48:00,20,11,2019-01-07 12:16:00,东风,东风,3,3,4.4,4.4,1008,揭阳市,广东省
25,多云,1,2,阴,WaxingGibbous,2019-01-15 12:43:00,2019-01-15 00:43:00,2019-01-15,2019-01-15 06:59:00,2019-01-15 17:49:00,21,11,2019-01-07 12:16:00,东南风,西北风,3,3,4.4,4.4,1008,揭阳市,广东省
26,阴,2,8,雨,WaxingGibbous,2019-01-16 13:23:00,2019-01-16 01:38:00,2019-01-16,2019-01-16 06:59:00,2019-01-16 17:49:00,19,11,2019-01-07 12:16:00,北风,东风,3,3,4.4,4.4,1008,揭阳市,广东省
27,雨,8,2,阴,WaxingGibbous,2019-01-17 14:08:00,2019-01-17 02:36:00,2019-01-17,2019-01-17 06:59:00,2019-01-17 17:50:00,18,10,2019-01-07 12:16:00,北风,东北风,3,3,4.4,4.4,1008,揭阳市,广东省
28,阴,2,2,阴,WaxingGibbous,2019-01-18 14:58:00,2019-01-18 03:37:00,2019-01-18,2019-01-18 06:59:00,2019-01-18 17:51:00,16,8,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1008,揭阳市,广东省
29,多云,1,31,多云,WaxingGibbous,2019-01-19 15:54:00,2019-01-19 04:40:00,2019-01-19,2019-01-19 06:58:00,2019-01-19 17:52:00,17,9,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1008,揭阳市,广东省
30,阴,2,31,多云,WaxingGibbous,2019-01-20 16:57:00,2019-01-20 05:43:00,2019-01-20,2019-01-20 06:58:00,2019-01-20 17:52:00,19,10,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1008,揭阳市,广东省
31,多云,1,31,多云,Full,2019-01-21 18:03:00,2019-01-21 06:45:00,2019-01-21,2019-01-21 06:58:00,2019-01-21 17:53:00,18,12,2019-01-07 12:16:00,东北风,东北风,3,3,4.4,4.4,1008,揭阳市,广东省
32,小雨,7,7,小雨,New,2019-01-06 07:13:00,2019-01-06 18:27:00,2019-01-06,2019-01-06 07:15:00,2019-01-06 18:13:00,21,18,2019-01-06 23:07:00,东北风,东北风,1,1,0.9,0.9,1020,海口市,海南省
33,小雨,7,7,小雨,WaxingCrescent,2019-01-07 08:01:00,2019-01-07 19:18:00,2019-01-07,2019-01-07 07:15:00,2019-01-07 18:14:00,25,19,2019-01-07 13:08:00,东北风,东北风,3-4,3-4,5.6,5.6,1020,海口市,海南省
34,小雨,7,7,小雨,WaxingCrescent,2019-01-08 08:46:00,2019-01-08 20:08:00,2019-01-08,2019-01-08 07:16:00,2019-01-08 18:15:00,22,19,2019-01-07 13:08:00,东北风,北风,3-4,2,5.6,2.4,1020,海口市,海南省
35,小雨,7,7,小雨,WaxingCrescent,2019-01-09 09:28:00,2019-01-09 20:58:00,2019-01-09,2019-01-09 07:16:00,2019-01-09 18:15:00,24,20,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
36,小雨,7,2,阴,WaxingCrescent,2019-01-10 10:07:00,2019-01-10 21:48:00,2019-01-10,2019-01-10 07:16:00,2019-01-10 18:16:00,27,21,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
37,多云,1,2,阴,WaxingCrescent,2019-01-11 10:44:00,2019-01-11 22:37:00,2019-01-11,2019-01-11 07:16:00,2019-01-11 18:17:00,28,21,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
38,阴,2,7,小雨,WaxingCrescent,2019-01-12 11:20:00,2019-01-12 23:26:00,2019-01-12,2019-01-12 07:16:00,2019-01-12 18:17:00,26,21,2019-01-07 13:08:00,北风,北风,2,2,2.4,2.4,1020,海口市,海南省
39,小雨,7,7,小雨,WaxingCrescent,2019-01-13 11:56:00,2019-01-13 00:16:00,2019-01-13,2019-01-13 07:16:00,2019-01-13 18:18:00,25,17,2019-01-07 13:08:00,东北风,东风,3-4,3-4,5.6,5.6,1020,海口市,海南省
40,雨,8,8,雨,First,2019-01-14 12:32:00,2019-01-14 00:16:00,2019-01-14,2019-01-14 07:17:00,2019-01-14 18:19:00,20,18,2019-01-07 12:15:00,东北风,东北风,3-4,3-4,5.6,5.6,1020,海口市,海南省
41,雨,8,8,雨,WaxingGibbous,2019-01-15 13:10:00,2019-01-15 01:07:00,2019-01-15,2019-01-15 07:17:00,2019-01-15 18:19:00,20,17,2019-01-07 12:15:00,东北风,东北风,3-4,3-4,5.6,5.6,1020,海口市,海南省
42,阴,2,8,雨,WaxingGibbous,2019-01-16 13:52:00,2019-01-16 02:00:00,2019-01-16,2019-01-16 07:17:00,2019-01-16 18:20:00,19,17,2019-01-07 12:15:00,东北风,东风,3-4,3,5.6,4.4,1020,海口市,海南省
43,雨,8,8,雨,WaxingGibbous,2019-01-17 14:38:00,2019-01-17 02:56:00,2019-01-17,2019-01-17 07:17:00,2019-01-17 18:21:00,19,16,2019-01-07 12:15:00,东北风,东风,3,3-4,4.4,5.6,1020,海口市,海南省
44,雨,8,8,雨,WaxingGibbous,2019-01-18 15:29:00,2019-01-18 03:56:00,2019-01-18,2019-01-18 07:17:00,2019-01-18 18:21:00,17,16,2019-01-07 12:15:00,东风,东风,3-4,3-4,5.6,5.6,1020,海口市,海南省
45,阴,2,2,阴,WaxingGibbous,2019-01-19 16:26:00,2019-01-19 04:58:00,2019-01-19,2019-01-19 07:17:00,2019-01-19 18:22:00,18,16,2019-01-07 12:15:00,东风,东风,3-4,3,5.6,4.4,1020,海口市,海南省
46,雨,8,8,雨,WaxingGibbous,2019-01-20 17:29:00,2019-01-20 06:02:00,2019-01-20,2019-01-20 07:17:00,2019-01-20 18:23:00,19,16,2019-01-07 12:15:00,东风,东风,3-4,3,5.6,4.4,1020,海口市,海南省
47,雨,8,8,雨,Full,2019-01-21 18:35:00,2019-01-21 07:04:00,2019-01-21,2019-01-21 07:17:00,2019-01-21 18:23:00,19,16,2019-01-07 12:15:00,东风,东风,3-4,3-4,5.6,5.6,1020,海口市,海南省
48,多云,1,2,阴,New,2019-01-06 07:03:00,2019-01-06 17:27:00,2019-01-06,2019-01-06 07:06:00,2019-01-06 17:14:00,4,1,2019-01-06 23:07:00,东北风,东北风,3,3,4.4,4.4,1045,南京市,江苏省
49,小雨,7,2,阴,WaxingCrescent,2019-01-07 07:50:00,2019-01-07 18:19:00,2019-01-07,2019-01-07 07:06:00,2019-01-07 17:15:00,6,3,2019-01-07 13:07:00,东北风,北风,3-4,3-4,5.6,5.6,1045,南京市,江苏省
50,阴,2,6,雨夹雪,WaxingCrescent,2019-01-08 08:33:00,2019-01-08 19:12:00,2019-01-08,2019-01-08 07:06:00,2019-01-08 17:16:00,6,2,2019-01-07 13:07:00,东北风,东北风,3-4,3-4,5.6,5.6,1045,南京市,江苏省
51,雨夹雪,6,6,雨夹雪,WaxingCrescent,2019-01-09 09:12:00,2019-01-09 20:06:00,2019-01-09,2019-01-09 07:06:00,2019-01-09 17:17:00,3,1,2019-01-07 13:07:00,东北风,东风,3-4,3-4,5.6,5.6,1045,南京市,江苏省
52,阴,2,7,小雨,WaxingCrescent,2019-01-10 09:47:00,2019-01-10 21:00:00,2019-01-10,2019-01-10 07:06:00,2019-01-10 17:18:00,6,5,2019-01-07 13:07:00,东北风,东北风,3-4,3-4,5.6,5.6,1045,南京市,江苏省
53,小雨,7,7,小雨,WaxingCrescent,2019-01-11 10:20:00,2019-01-11 21:53:00,2019-01-11,2019-01-11 07:06:00,2019-01-11 17:19:00,7,4,2019-01-07 13:07:00,东北风,北风,3-4,3-4,5.6,5.6,1045,南京市,江苏省
54,多云,1,31,多云,WaxingCrescent,2019-01-12 10:51:00,2019-01-12 22:47:00,2019-01-12,2019-01-12 07:06:00,2019-01-12 17:19:00,8,0,2019-01-07 13:07:00,西北风,西风,3-4,3-4,5.6,5.6,1045,南京市,江苏省
55,多云,1,31,多云,WaxingCrescent,2019-01-13 11:22:00,2019-01-13 23:42:00,2019-01-13,2019-01-13 07:06:00,2019-01-13 17:20:00,9,0,2019-01-07 13:07:00,东北风,北风,3-4,2,5.6,2.4,1045,南京市,江苏省
56,阴,2,8,雨,First,2019-01-14 11:54:00,2019-01-14 00:38:00,2019-01-14,2019-01-14 07:06:00,2019-01-14 17:21:00,7,0,2019-01-07 12:15:00,东北风,东北风,3,3,4.4,4.4,1045,南京市,江苏省
57,雨,8,6,雨夹雪,WaxingGibbous,2019-01-15 12:27:00,2019-01-15 00:38:00,2019-01-15,2019-01-15 07:06:00,2019-01-15 17:22:00,6,0,2019-01-07 12:15:00,东北风,东北风,3,3,4.4,4.4,1045,南京市,江苏省
58,阴,2,6,雨夹雪,WaxingGibbous,2019-01-16 13:03:00,2019-01-16 01:36:00,2019-01-16,2019-01-16 07:06:00,2019-01-16 17:23:00,8,0,2019-01-07 12:15:00,东北风,东风,3,3,4.4,4.4,1045,南京市,江苏省
59,雪,15,30,晴,WaxingGibbous,2019-01-17 13:44:00,2019-01-17 02:38:00,2019-01-17,2019-01-17 07:05:00,2019-01-17 17:24:00,6,-2,2019-01-07 12:15:00,西风,东北风,3,3,4.4,4.4,1045,南京市,江苏省
60,晴,0,31,多云,WaxingGibbous,2019-01-18 14:32:00,2019-01-18 03:41:00,2019-01-18,2019-01-18 07:05:00,2019-01-18 17:25:00,3,-2,2019-01-07 12:15:00,东北风,东北风,3,3,4.4,4.4,1045,南京市,江苏省
61,晴,0,30,晴,WaxingGibbous,2019-01-19 15:26:00,2019-01-19 04:47:00,2019-01-19,2019-01-19 07:05:00,2019-01-19 17:26:00,5,-1,2019-01-07 12:15:00,东北风,东北风,3,3,4.4,4.4,1045,南京市,江苏省
