"","channel","attrs","choosed_sku","choosed_channel","chayi_huizong"
"1","nzb","sm_type","针织裙","中",0.0389141181522037
"2","nzb","sm_type","针织裙","北",0.0371617808865067
"3","nzb","sm_type","针织裙","南",0.0460106057631896
"4","nzb","sm_type","雪纺裙","中",0.0515770445306636
"5","nzb","sm_type","雪纺裙","北",0.0379325226975022
"6","nzb","sm_type","雪纺裙","南",0.0231081419244893
"7","nzb","sm_type","梭织/化纤裙","中",0.0392748726060273
"8","nzb","sm_type","梭织/化纤裙","北",0.0247037468615337
"9","nzb","sm_type","梭织/化纤裙","南",0.0392296171029608
"10","nzb","sm_type","牛仔裙","中",0.0550729040200452
"11","nzb","sm_type","牛仔裙","北",0.0359377056078295
"12","nzb","sm_type","牛仔裙","南",0.0602839282353747
"13","nzb","sm_type","蕾丝/镂空裙","中",0.0655376552140698
"14","nzb","sm_type","蕾丝/镂空裙","北",0.0636239916770666
"15","nzb","sm_type","蕾丝/镂空裙","南",0.090629342281158
"16","nzb","sm_type","衬衫/棉质裙","中",0.0502840488517376
"17","nzb","sm_type","衬衫/棉质裙","北",0.0601533698829531
"18","nzb","sm_type","衬衫/棉质裙","南",0.0615951233332542
"19","nzb","sm_type","毛织裙","中",0.111111111111111
"20","nzb","sm_type","毛织裙","北",0.0833333333333333
"21","nzb","sm_type","毛织裙","南",0.0833333333333333
"22","provi_rank","sm_type","针织裙","县级",0.0334272438066876
"23","provi_rank","sm_type","针织裙","地级",0.0393395924958825
"24","provi_rank","sm_type","针织裙","直辖",0.0499984795428222
"25","provi_rank","sm_type","针织裙","省级",0.0511660248716052
"26","provi_rank","sm_type","针织裙","镇级",0.0355995071191751
"27","provi_rank","sm_type","雪纺裙","县级",0.0251237811293246
"28","provi_rank","sm_type","雪纺裙","地级",0.0559865240636956
"29","provi_rank","sm_type","雪纺裙","直辖",0.0785541804867673
"30","provi_rank","sm_type","雪纺裙","省级",0.0902433008740008
"31","provi_rank","sm_type","雪纺裙","镇级",0.0579219478407428
"32","provi_rank","sm_type","梭织/化纤裙","县级",0.0228095225513259
"33","provi_rank","sm_type","梭织/化纤裙","地级",0.0395302489059488
"34","provi_rank","sm_type","梭织/化纤裙","直辖",0.052995583765573
"35","provi_rank","sm_type","梭织/化纤裙","省级",0.0398755537149951
"36","provi_rank","sm_type","梭织/化纤裙","镇级",0.0285321954873856
"37","provi_rank","sm_type","牛仔裙","县级",0.0376179885036148
"38","provi_rank","sm_type","牛仔裙","地级",0.0518901582069574
"39","provi_rank","sm_type","牛仔裙","直辖",0.110433485733172
"40","provi_rank","sm_type","牛仔裙","省级",0.0665133311120227
"41","provi_rank","sm_type","牛仔裙","镇级",0.0380489475746486
"42","provi_rank","sm_type","蕾丝/镂空裙","县级",0.0570337756554778
"43","provi_rank","sm_type","蕾丝/镂空裙","地级",0.0768800841004789
"44","provi_rank","sm_type","蕾丝/镂空裙","直辖",0.112276315120071
"45","provi_rank","sm_type","蕾丝/镂空裙","省级",0.0663976641140933
"46","provi_rank","sm_type","蕾丝/镂空裙","镇级",0.0793616504528972
"47","provi_rank","sm_type","衬衫/棉质裙","县级",0.0504651293716313
"48","provi_rank","sm_type","衬衫/棉质裙","地级",0.0599760563602804
"49","provi_rank","sm_type","衬衫/棉质裙","直辖",0.0675187310764735
"50","provi_rank","sm_type","衬衫/棉质裙","省级",0.0594174011856469
"51","provi_rank","sm_type","衬衫/棉质裙","镇级",0.0549530852509015
"52","provi_rank","sm_type","毛织裙","县级",0.0666666666666667
"53","provi_rank","sm_type","毛织裙","地级",0.111111111111111
"54","provi_rank","sm_type","毛织裙","省级",0.166666666666667
"55","provi_rank","sm_type","毛织裙","镇级",0.0833333333333333
"56","city_rank","sm_type","针织裙","一线",0.045326625860328
"57","city_rank","sm_type","针织裙","三线",0.0336854700704598
"58","city_rank","sm_type","针织裙","二线",0.0392293604197438
"59","city_rank","sm_type","针织裙","四线",0.0339217999594647
"60","city_rank","sm_type","针织裙","特一线",0.062796362093322
"61","city_rank","sm_type","雪纺裙","一线",0.0811527734893889
"62","city_rank","sm_type","雪纺裙","三线",0.0263702792291032
"63","city_rank","sm_type","雪纺裙","二线",0.0452440404504121
"64","city_rank","sm_type","雪纺裙","四线",0.0673544857729616
"65","city_rank","sm_type","雪纺裙","特一线",0.0863769731270223
"66","city_rank","sm_type","梭织/化纤裙","一线",0.0345061933075961
"67","city_rank","sm_type","梭织/化纤裙","三线",0.0271818737028095
"68","city_rank","sm_type","梭织/化纤裙","二线",0.0361949890424071
"69","city_rank","sm_type","梭织/化纤裙","四线",0.022901352087214
"70","city_rank","sm_type","梭织/化纤裙","特一线",0.0640396200398387
"71","city_rank","sm_type","牛仔裙","一线",0.0709944370081029
"72","city_rank","sm_type","牛仔裙","三线",0.0354191675292963
"73","city_rank","sm_type","牛仔裙","二线",0.0492473258659955
"74","city_rank","sm_type","牛仔裙","四线",0.0370885801403834
"75","city_rank","sm_type","牛仔裙","特一线",0.111621294989088
"76","city_rank","sm_type","蕾丝/镂空裙","一线",0.0727686215789541
"77","city_rank","sm_type","蕾丝/镂空裙","三线",0.0579097966986357
"78","city_rank","sm_type","蕾丝/镂空裙","二线",0.0685801796981803
"79","city_rank","sm_type","蕾丝/镂空裙","四线",0.063789822393614
"80","city_rank","sm_type","蕾丝/镂空裙","特一线",0.192224672345274
"81","city_rank","sm_type","衬衫/棉质裙","一线",0.0573676846716194
"82","city_rank","sm_type","衬衫/棉质裙","三线",0.0536258777975779
"83","city_rank","sm_type","衬衫/棉质裙","二线",0.0584918149475165
"84","city_rank","sm_type","衬衫/棉质裙","四线",0.0534936432632765
"85","city_rank","sm_type","衬衫/棉质裙","特一线",0.0800113352428125
"86","city_rank","sm_type","毛织裙","一线",0.111111111111111
"87","city_rank","sm_type","毛织裙","三线",0.0833333333333333
"88","city_rank","sm_type","毛织裙","二线",0.166666666666667
"89","city_rank","sm_type","毛织裙","四线",0.111111111111111
"90","city_rank","sm_type","毛织裙","特一线",0.333333333333333
"91","area_rank","sm_type","针织裙","(200,400]",0.0372666478201216
"92","area_rank","sm_type","针织裙","(400,600]",0.046978808562325
"93","area_rank","sm_type","针织裙","(600,800]",0.0622339357388967
"94","area_rank","sm_type","针织裙","(800,3e+03]",0.0744626978030702
"95","area_rank","sm_type","针织裙","[0,200]",0.0302679779572708
"96","area_rank","sm_type","雪纺裙","(200,400]",0.0526495320460948
"97","area_rank","sm_type","雪纺裙","(400,600]",0.0575559347255201
"98","area_rank","sm_type","雪纺裙","(600,800]",0.0848579399675781
"99","area_rank","sm_type","雪纺裙","(800,3e+03]",0.102787016727568
"100","area_rank","sm_type","雪纺裙","[0,200]",0.0347602359665094
"101","area_rank","sm_type","梭织/化纤裙","(200,400]",0.0278044537567858
"102","area_rank","sm_type","梭织/化纤裙","(400,600]",0.0466385987087083
"103","area_rank","sm_type","梭织/化纤裙","(600,800]",0.0590954269405977
"104","area_rank","sm_type","梭织/化纤裙","(800,3e+03]",0.0685019970524057
"105","area_rank","sm_type","梭织/化纤裙","[0,200]",0.0262125625750026
"106","area_rank","sm_type","牛仔裙","(200,400]",0.0469927796262453
"107","area_rank","sm_type","牛仔裙","(400,600]",0.0581820118272521
"108","area_rank","sm_type","牛仔裙","(600,800]",0.117735107329243
"109","area_rank","sm_type","牛仔裙","(800,3e+03]",0.141568479678852
"110","area_rank","sm_type","牛仔裙","[0,200]",0.0332827584623797
"111","area_rank","sm_type","蕾丝/镂空裙","(200,400]",0.0650828142913373
"112","area_rank","sm_type","蕾丝/镂空裙","(400,600]",0.0907555048828096
"113","area_rank","sm_type","蕾丝/镂空裙","(600,800]",0.119333135681016
"114","area_rank","sm_type","蕾丝/镂空裙","(800,3e+03]",0.11462600827996
"115","area_rank","sm_type","蕾丝/镂空裙","[0,200]",0.0579641461040451
"116","area_rank","sm_type","衬衫/棉质裙","(200,400]",0.0541585291882684
"117","area_rank","sm_type","衬衫/棉质裙","(400,600]",0.0626178591275377
"118","area_rank","sm_type","衬衫/棉质裙","(600,800]",0.0869571442457833
"119","area_rank","sm_type","衬衫/棉质裙","(800,3e+03]",0.0846786768593545
"120","area_rank","sm_type","衬衫/棉质裙","[0,200]",0.0430714055539725
"121","area_rank","sm_type","毛织裙","(200,400]",0.0833333333333333
"122","area_rank","sm_type","毛织裙","(400,600]",0.166666666666667
"123","area_rank","sm_type","毛织裙","(600,800]",0.166666666666667
"124","area_rank","sm_type","毛织裙","(800,3e+03]",0.166666666666667
"125","area_rank","sm_type","毛织裙","[0,200]",0.0666666666666667
"126","moshi_rank","sm_type","针织裙","NULL",0.0380168144035501
"127","moshi_rank","sm_type","针织裙","SPM",0.0418265632298781
"128","moshi_rank","sm_type","针织裙","商超",0.0364676680521909
"129","moshi_rank","sm_type","针织裙","地铺",0.0378642467420745
"130","moshi_rank","sm_type","针织裙","特卖",0.0466496812987795
"131","moshi_rank","sm_type","雪纺裙","NULL",0.104464982323893
"132","moshi_rank","sm_type","雪纺裙","SPM",0.0928771400477093
"133","moshi_rank","sm_type","雪纺裙","商超",0.0659285996592667
"134","moshi_rank","sm_type","雪纺裙","地铺",0.0494712398996761
"135","moshi_rank","sm_type","雪纺裙","特卖",0.147954603712787
"136","moshi_rank","sm_type","梭织/化纤裙","NULL",0.032076302980896
"137","moshi_rank","sm_type","梭织/化纤裙","SPM",0.0528061858388912
"138","moshi_rank","sm_type","梭织/化纤裙","商超",0.0209016348439685
"139","moshi_rank","sm_type","梭织/化纤裙","地铺",0.0315050218151598
"140","moshi_rank","sm_type","梭织/化纤裙","特卖",0.0537997232152178
"141","moshi_rank","sm_type","牛仔裙","NULL",0.053353638227892
"142","moshi_rank","sm_type","牛仔裙","SPM",0.103564741279998
"143","moshi_rank","sm_type","牛仔裙","商超",0.0562815960108342
"144","moshi_rank","sm_type","牛仔裙","地铺",0.0412816813988338
"145","moshi_rank","sm_type","牛仔裙","特卖",0.106217705244521
"146","moshi_rank","sm_type","蕾丝/镂空裙","NULL",0.0743093998182357
"147","moshi_rank","sm_type","蕾丝/镂空裙","SPM",0.0860295011038441
"148","moshi_rank","sm_type","蕾丝/镂空裙","商超",0.0934149454786779
"149","moshi_rank","sm_type","蕾丝/镂空裙","地铺",0.0597215203262185
"150","moshi_rank","sm_type","蕾丝/镂空裙","特卖",0.0836601796561792
"151","moshi_rank","sm_type","衬衫/棉质裙","NULL",0.050732909505058
"152","moshi_rank","sm_type","衬衫/棉质裙","SPM",0.0663015360369598
"153","moshi_rank","sm_type","衬衫/棉质裙","商超",0.0510705684461839
"154","moshi_rank","sm_type","衬衫/棉质裙","地铺",0.0579968427152983
"155","moshi_rank","sm_type","衬衫/棉质裙","特卖",0.068127795257316
"156","moshi_rank","sm_type","毛织裙","NULL",0.166666666666667
"157","moshi_rank","sm_type","毛织裙","SPM",0.166666666666667
"158","moshi_rank","sm_type","毛织裙","商超",0.111111111111111
"159","moshi_rank","sm_type","毛织裙","地铺",0.0833333333333333
"160","nzb","xiuchang","短袖","中",0.0453808298203977
"161","nzb","xiuchang","短袖","北",0.03546315606817
"162","nzb","xiuchang","短袖","南",0.0505465112229673
"163","nzb","xiuchang","无袖","中",0.0253881023560908
"164","nzb","xiuchang","无袖","北",0.0312297623406208
"165","nzb","xiuchang","无袖","南",0.0511817068047362
"166","nzb","xiuchang","露肩袖","中",0.0708039903156263
"167","nzb","xiuchang","露肩袖","北",0.0790819836423425
"168","nzb","xiuchang","露肩袖","南",0.0784764622826618
"169","nzb","xiuchang","背带","中",0.0829454006104276
"170","nzb","xiuchang","背带","北",0.0666666666666667
"171","nzb","xiuchang","背带","南",0.111111111111111
"172","nzb","xiuchang","中袖","中",0.0544495137011047
"173","nzb","xiuchang","中袖","北",0.0487005414616791
"174","nzb","xiuchang","中袖","南",0.0588965169432921
"175","nzb","xiuchang","长袖","中",0.112351716412081
