index,物料,choosed_sku,渠道,choosed_channel,chayi_huizong,attrs,channel,paiming
H面积段,版型,H,面积段,"(800,3e+03]",0.214648237,banxing,area_rank,101
H城市级别,版型,H,城市级别,特一线,0.119963638,banxing,city_rank,251
H面积段,版型,H,面积段,"(600,800]",0.071726065,banxing,area_rank,427
H省市级别,版型,H,省市级别,直辖,0.06741614,banxing,provi_rank,445
H省市级别,版型,H,省市级别,省级,0.059820996,banxing,provi_rank,476
H模式,版型,H,模式,SPM,0.059275534,banxing,moshi_rank,479
H模式,版型,H,模式,特卖,0.057261229,banxing,moshi_rank,500
H面积段,版型,H,面积段,"(400,600]",0.056439161,banxing,area_rank,506
H城市级别,版型,H,城市级别,一线,0.042027981,banxing,city_rank,582
H城市级别,版型,H,城市级别,二线,0.036064835,banxing,city_rank,609
H省市级别,版型,H,省市级别,地级,0.033267997,banxing,provi_rank,617
H南中北,版型,H,南中北,南,0.032871554,banxing,nzb,618
H南中北,版型,H,南中北,北,0.030009238,banxing,nzb,624
H面积段,版型,H,面积段,"(200,400]",0.029857095,banxing,area_rank,626
H模式,版型,H,模式,商超,0.029703751,banxing,moshi_rank,627
H模式,版型,H,模式,地铺,0.029478924,banxing,moshi_rank,629
H模式,版型,H,模式,NULL,0.028671273,banxing,moshi_rank,635
H省市级别,版型,H,省市级别,镇级,0.027979311,banxing,provi_rank,639
H南中北,版型,H,南中北,中,0.027899248,banxing,nzb,640
H城市级别,版型,H,城市级别,四线,0.02363962,banxing,city_rank,645
H面积段,版型,H,面积段,"[0,200]",0.018937757,banxing,area_rank,647
H城市级别,版型,H,城市级别,三线,0.018286604,banxing,city_rank,648
H省市级别,版型,H,省市级别,县级,0.0179631,banxing,provi_rank,649
X城市级别,版型,X,城市级别,特一线,0.110438458,banxing,city_rank,277
X面积段,版型,X,面积段,"(800,3e+03]",0.084279716,banxing,area_rank,377
X模式,版型,X,模式,特卖,0.068359951,banxing,moshi_rank,436
X面积段,版型,X,面积段,"(600,800]",0.062729717,banxing,area_rank,462
X省市级别,版型,X,省市级别,直辖,0.061926026,banxing,provi_rank,467
X省市级别,版型,X,省市级别,省级,0.048014853,banxing,provi_rank,553
X模式,版型,X,模式,SPM,0.046582096,banxing,moshi_rank,557
X面积段,版型,X,面积段,"(400,600]",0.045395753,banxing,area_rank,566
X模式,版型,X,模式,商超,0.03856867,banxing,moshi_rank,599
X南中北,版型,X,南中北,南,0.03841338,banxing,nzb,600
X模式,版型,X,模式,NULL,0.033486162,banxing,moshi_rank,615
X面积段,版型,X,面积段,"(200,400]",0.033400594,banxing,area_rank,616
X城市级别,版型,X,城市级别,二线,0.031434446,banxing,city_rank,622
X省市级别,版型,X,省市级别,镇级,0.030975445,banxing,provi_rank,623
X城市级别,版型,X,城市级别,三线,0.029403042,banxing,city_rank,630
X城市级别,版型,X,城市级别,一线,0.028931503,banxing,city_rank,633
X省市级别,版型,X,省市级别,县级,0.028539051,banxing,provi_rank,636
X省市级别,版型,X,省市级别,地级,0.028138389,banxing,provi_rank,637
