单据日期,时,门店编号,门店名称,销售笔数,总数量,总金额,客单数,客单价,件单价,节假日,星期
43101,9,1EZZ1S0551,森马郑州德化步行街粤海店,1,2,298,2,298,149,元旦节,1
43101,10,1EZZ1S0551,森马郑州德化步行街粤海店,13,33,7669,2.5,590,232,元旦节,1
43101,11,1EZZ1S0551,森马郑州德化步行街粤海店,32,78,16961,2.4,530,217,元旦节,1
43101,12,1EZZ1S0551,森马郑州德化步行街粤海店,51,109,22712,2.1,445,208,元旦节,1
43101,13,1EZZ1S0551,森马郑州德化步行街粤海店,51,120,25888,2.4,508,216,元旦节,1
43101,14,1EZZ1S0551,森马郑州德化步行街粤海店,65,152,32914,2.3,506,217,元旦节,1
43101,15,1EZZ1S0551,森马郑州德化步行街粤海店,67,159,35637,2.4,532,224,元旦节,1
43101,16,1EZZ1S0551,森马郑州德化步行街粤海店,83,194,38893,2.3,469,200,元旦节,1
43101,17,1EZZ1S0551,森马郑州德化步行街粤海店,54,132,30683,2.4,568,232,元旦节,1
43101,18,1EZZ1S0551,森马郑州德化步行街粤海店,57,130,30461,2.3,534,234,元旦节,1
43101,19,1EZZ1S0551,森马郑州德化步行街粤海店,26,60,18171,2.3,699,303,元旦节,1
43101,20,1EZZ1S0551,森马郑州德化步行街粤海店,30,69,18503,2.3,617,268,元旦节,1
43101,21,1EZZ1S0551,森马郑州德化步行街粤海店,24,55,14448,2.3,602,263,元旦节,1
43101,22,1EZZ1S0551,森马郑州德化步行街粤海店,13,29,6553,2.2,504,226,元旦节,1
43101,23,1EZZ1S0551,森马郑州德化步行街粤海店,2,5,1265,2.5,633,253,元旦节,1
43102,10,1EZZ1S0551,森马郑州德化步行街粤海店,1,2,798,2,798,399,工作日,2
43102,11,1EZZ1S0551,森马郑州德化步行街粤海店,6,49,3769,8.2,628,77,工作日,2
43102,12,1EZZ1S0551,森马郑州德化步行街粤海店,6,14,4590,2.3,765,328,工作日,2
43102,13,1EZZ1S0551,森马郑州德化步行街粤海店,7,13,3115,1.9,445,240,工作日,2
43102,14,1EZZ1S0551,森马郑州德化步行街粤海店,18,38,12254,2.1,681,322,工作日,2
43102,15,1EZZ1S0551,森马郑州德化步行街粤海店,13,30,7795,2.3,600,260,工作日,2
43102,16,1EZZ1S0551,森马郑州德化步行街粤海店,15,37,10489,2.5,699,283,工作日,2
43102,17,1EZZ1S0551,森马郑州德化步行街粤海店,9,23,6330,2.6,703,275,工作日,2
43102,18,1EZZ1S0551,森马郑州德化步行街粤海店,20,37,10138,1.9,507,274,工作日,2
43102,19,1EZZ1S0551,森马郑州德化步行街粤海店,11,23,6459,2.1,587,281,工作日,2
43102,20,1EZZ1S0551,森马郑州德化步行街粤海店,13,24,6967,1.9,536,290,工作日,2
43102,21,1EZZ1S0551,森马郑州德化步行街粤海店,7,18,5155,2.6,736,286,工作日,2
43102,22,1EZZ1S0551,森马郑州德化步行街粤海店,3,12,3618,4,1206,302,工作日,2
43103,9,1EZZ1S0551,森马郑州德化步行街粤海店,1,3,767,3,767,256,工作日,3
43103,10,1EZZ1S0551,森马郑州德化步行街粤海店,1,2,286,2,286,143,工作日,3
43103,11,1EZZ1S0551,森马郑州德化步行街粤海店,4,7,1813,1.8,453,259,工作日,3
43103,12,1EZZ1S0551,森马郑州德化步行街粤海店,3,6,2074,2,691,346,工作日,3
43103,13,1EZZ1S0551,森马郑州德化步行街粤海店,8,15,4133,1.9,517,276,工作日,3
43103,14,1EZZ1S0551,森马郑州德化步行街粤海店,9,18,6222,2,691,346,工作日,3
43103,15,1EZZ1S0551,森马郑州德化步行街粤海店,13,29,7591,2.2,584,262,工作日,3
43103,16,1EZZ1S0551,森马郑州德化步行街粤海店,11,20,5876,1.8,534,294,工作日,3
43103,17,1EZZ1S0551,森马郑州德化步行街粤海店,12,26,7876,2.2,656,303,工作日,3
43103,18,1EZZ1S0551,森马郑州德化步行街粤海店,9,23,5946,2.6,661,259,工作日,3
43103,19,1EZZ1S0551,森马郑州德化步行街粤海店,9,19,6272,2.1,697,330,工作日,3
43103,20,1EZZ1S0551,森马郑州德化步行街粤海店,4,9,2407,2.3,602,267,工作日,3
43103,21,1EZZ1S0551,森马郑州德化步行街粤海店,3,6,2298,2,766,383,工作日,3
43104,9,1EZZ1S0551,森马郑州德化步行街粤海店,1,3,813,3,813,271,工作日,4
43104,12,1EZZ1S0551,森马郑州德化步行街粤海店,5,8,2476,1.6,495,310,工作日,4
43104,13,1EZZ1S0551,森马郑州德化步行街粤海店,3,6,1522,2,507,254,工作日,4
43104,14,1EZZ1S0551,森马郑州德化步行街粤海店,4,12,3853,3,963,321,工作日,4
43104,15,1EZZ1S0551,森马郑州德化步行街粤海店,10,23,6482,2.3,648,282,工作日,4
43104,16,1EZZ1S0551,森马郑州德化步行街粤海店,9,16,4708,1.8,523,294,工作日,4
43104,17,1EZZ1S0551,森马郑州德化步行街粤海店,12,26,8542,2.2,712,329,工作日,4
43104,18,1EZZ1S0551,森马郑州德化步行街粤海店,9,20,5498,2.2,611,275,工作日,4
43104,19,1EZZ1S0551,森马郑州德化步行街粤海店,5,7,1833,1.4,367,262,工作日,4
43104,20,1EZZ1S0551,森马郑州德化步行街粤海店,6,15,3992,2.5,665,266,工作日,4
43104,21,1EZZ1S0551,森马郑州德化步行街粤海店,7,23,5831,3.3,833,254,工作日,4
