日期	星期	假日	班休	year	month	day	ymd
2016/1/1	星期五	元旦	休	2016	1	1	20160101
2016/1/2	星期六	元旦	休	2016	1	2	20160102
2016/1/3	星期日	元旦	休	2016	1	3	20160103
2016/1/4	星期一		班	2016	1	4	20160104
2016/1/5	星期二		班	2016	1	5	20160105
2016/1/6	星期三		班	2016	1	6	20160106
2016/1/7	星期四		班	2016	1	7	20160107
2016/1/8	星期五		班	2016	1	8	20160108
2016/1/9	星期六		休	2016	1	9	20160109
2016/1/10	星期日		休	2016	1	10	20160110
2016/1/11	星期一		班	2016	1	11	20160111
2016/1/12	星期二		班	2016	1	12	20160112
2016/1/13	星期三		班	2016	1	13	20160113
2016/1/14	星期四		班	2016	1	14	20160114
2016/1/15	星期五		班	2016	1	15	20160115
2016/1/16	星期六		休	2016	1	16	20160116
2016/1/17	星期日		休	2016	1	17	20160117
2016/1/18	星期一		班	2016	1	18	20160118
2016/1/19	星期二		班	2016	1	19	20160119
2016/1/20	星期三		班	2016	1	20	20160120
2016/1/21	星期四		班	2016	1	21	20160121
2016/1/22	星期五		班	2016	1	22	20160122
2016/1/23	星期六		休	2016	1	23	20160123
2016/1/24	星期日		休	2016	1	24	20160124
2016/1/25	星期一		班	2016	1	25	20160125
2016/1/26	星期二		班	2016	1	26	20160126
2016/1/27	星期三		班	2016	1	27	20160127
2016/1/28	星期四		班	2016	1	28	20160128
2016/1/29	星期五		班	2016	1	29	20160129
2016/1/30	星期六		休	2016	1	30	20160130
2016/1/31	星期日		休	2016	1	31	20160131
2016/2/1	星期一		班	2016	2	1	20160201
2016/2/2	星期二		班	2016	2	2	20160202
2016/2/3	星期三		班	2016	2	3	20160203
2016/2/4	星期四		班	2016	2	4	20160204
2016/2/5	星期五		班	2016	2	5	20160205
2016/2/6	星期六		班	2016	2	6	20160206
2016/2/7	星期日	除夕	休	2016	2	7	20160207
2016/2/8	星期一	春节	休	2016	2	8	20160208
2016/2/9	星期二	春节	休	2016	2	9	20160209
2016/2/10	星期三	春节	休	2016	2	10	20160210
2016/2/11	星期四	春节	休	2016	2	11	20160211
2016/2/12	星期五	春节	休	2016	2	12	20160212
2016/2/13	星期六	春节	休	2016	2	13	20160213
2016/2/14	星期日	情人节	班	2016	2	14	20160214
2016/2/15	星期一		班	2016	2	15	20160215
2016/2/16	星期二		班	2016	2	16	20160216
2016/2/17	星期三		班	2016	2	17	20160217
2016/2/18	星期四		班	2016	2	18	20160218
2016/2/19	星期五		班	2016	2	19	20160219
2016/2/20	星期六		休	2016	2	20	20160220
2016/2/21	星期日		休	2016	2	21	20160221
