日历天,当期零售市值,当期零售金额,当期零售数量,星期,周次,年份,去除节假日,年份周
42370,145371065.4,86341787.92,500568,5,1,2016,0,201601
42371,99320927.7,58555026.8,349786,6,1,2016,0,201601
42372,69263806.7,40428138.82,247399,7,1,2016,0,201601
42373,22743287,14138776.71,86151,1,2,2016,14138776.71,201602
42374,21528290.9,13293332.04,80483,2,2,2016,13293332.04,201602
42375,22869949.9,14256425.4,85879,3,2,2016,14256425.4,201602
42376,24207569,14634295.75,92020,4,2,2016,14634295.75,201602
42377,26982403.9,16525126.05,100667,5,2,2016,16525126.05,201602
42378,48764498,29231033.27,174033,6,2,2016,29231033.27,201602
42379,54080531.8,32309008.72,192130,7,2,2016,32309008.72,201602
42380,28179774,16844716.94,101457,1,3,2016,16844716.94,201603
42381,30539006.9,18408393.2,108875,2,3,2016,18408393.2,201603
42382,32298558.9,19339607.68,115719,3,3,2016,19339607.68,201603
42383,32162468.9,19726252.34,115334,4,3,2016,19726252.34,201603
42384,38015700,23210738.24,136997,5,3,2016,23210738.24,201603
42385,67927353,40864010.76,239924,6,3,2016,40864010.76,201603
42386,78693911.7,47066327.69,275749,7,3,2016,47066327.69,201603
42387,42435037.8,26244218.34,149840,1,4,2016,26244218.34,201604
42388,86557413,39324838.01,289195,2,4,2016,39324838.01,201604
42389,48671177.9,29808979.56,167697,3,4,2016,29808979.56,201604
42390,51111277,31521301.55,175886,4,4,2016,31521301.55,201604
42391,50751650.8,31172964.31,171948,5,4,2016,31172964.31,201604
42392,79204583,48286816.62,262334,6,4,2016,48286816.62,201604
42393,96506630.6,58823673.02,317864,7,4,2016,58823673.02,201604
42394,88977050,49549373.72,305067,1,5,2016,49549373.72,201605
42395,252871834.9,104373805.8,879259,2,5,2016,104373805.8,201605
42396,65329817,42498935.5,232311,3,5,2016,42498935.5,201605
42397,61722631.8,40862941.59,221827,4,5,2016,40862941.59,201605
42398,73946946,49172212.34,267634,5,5,2016,49172212.34,201605
42399,106068056.9,69352989.91,378392,6,5,2016,69352989.91,201605
42400,110014253,72323680.66,393855,7,5,2016,0,201605
42401,98835039,65508613.86,354480,1,6,2016,0,201606
42402,108673232.9,73319072.21,393743,2,6,2016,0,201606
42403,117046361.9,81022444.36,434184,3,6,2016,0,201606
42404,119168929,83744771.88,450274,4,6,2016,0,201606
42405,129573689.9,92791497.58,498253,5,6,2016,0,201606
42406,119739211.9,87401654.8,470118,6,6,2016,0,201606
42407,43858986.9,32562920.04,176292,7,6,2016,0,201606
42408,16880198,11884268.14,69018,1,7,2016,0,201607
42409,16822903.9,12453135.04,70702,2,7,2016,0,201607
42410,21079490.9,15828748.2,90076,3,7,2016,0,201607
42411,23674797,17976332.4,103408,4,7,2016,0,201607
42412,25108436,19366729.44,111520,5,7,2016,0,201607
42413,24880489,18716480.24,110292,6,7,2016,0,201607
42414,28569754,21460339.02,122985,7,7,2016,0,201607
42415,22341150.9,17322962.86,95792,1,8,2016,17322962.86,201608
42416,23507904,17564313.48,100152,2,8,2016,17564313.48,201608
42417,23349983,17661761.3,100584,3,8,2016,17661761.3,201608
42418,22937817,17397335.76,99711,4,8,2016,17397335.76,201608
42419,21239829,15775717.1,92206,5,8,2016,15775717.1,201608
42420,27786783,20383753.69,120877,6,8,2016,20383753.69,201608
42421,28202331.9,20680771.44,122909,7,8,2016,20680771.44,201608
42422,22469982,16596876.94,97816,1,9,2016,0,201609
42423,99211733,42645160.23,367778,2,9,2016,42645160.23,201609
42424,69261732,29803305.48,263108,3,9,2016,29803305.48,201609
42425,81460375,29819675.35,295292,4,9,2016,29819675.35,201609
42426,23296341,16738215.09,101527,5,9,2016,16738215.09,201609
42427,35529273.8,25501244.55,159460,6,9,2016,25501244.55,201609
42428,38579422,27707545.55,172062,7,9,2016,27707545.55,201609
42429,19277530,13633655.77,89169,1,10,2016,13633655.77,201610
42430,17769908,12831418.35,83303,2,10,2016,12831418.35,201610
42431,20528210,13873953.62,94041,3,10,2016,13873953.62,201610
42432,19176426,13976520.14,91426,4,10,2016,13976520.14,201610
42433,21822305,15966868.08,106046,5,10,2016,15966868.08,201610
42434,41745903.8,30775518.4,201434,6,10,2016,30775518.4,201610
42435,43056561.7,31737384.35,210143,7,10,2016,31737384.35,201610
42436,19059563,13522650.45,95301,1,11,2016,13522650.45,201611
42437,19053808,13144703.05,95315,2,11,2016,0,201611
42438,12506108,8800469.55,62741,3,11,2016,8800469.55,201611
42439,12959502,8999967.43,62634,4,11,2016,8999967.43,201611
42440,16545219,11624987.4,80491,5,11,2016,11624987.4,201611
42441,30217046.9,21722330.18,144649,6,11,2016,21722330.18,201611
42442,31961015.9,23040873.14,153776,7,11,2016,23040873.14,201611
42443,24310329.8,14894128.26,113707,1,12,2016,14894128.26,201612
42444,20337487.6,12163230.3,94490,2,12,2016,12163230.3,201612
42445,18081106,13377723.8,89952,3,12,2016,13377723.8,201612
42446,17016426.9,12245115.96,86333,4,12,2016,12245115.96,201612
42447,24530121.8,17122688.22,125841,5,12,2016,17122688.22,201612
42448,45466646,32326167.88,232633,6,12,2016,32326167.88,201612
42449,46513587,33161124.74,239681,7,12,2016,33161124.74,201612
42450,19748619.9,13891936.62,104199,1,13,2016,13891936.62,201613
42451,17296872.9,12117198.7,91189,2,13,2016,12117198.7,201613
42452,16329799,11370642.18,85456,3,13,2016,11370642.18,201613
42453,79586156.9,33154031.37,348390,4,13,2016,33154031.37,201613
42454,29563530.9,16579314.11,147396,5,13,2016,16579314.11,201613
42455,37105663.9,25731538.22,190733,6,13,2016,25731538.22,201613
42456,41235213.4,28999307.42,214934,7,13,2016,28999307.42,201613
42457,18439422,13207298.92,100104,1,14,2016,13207298.92,201614
42458,16802409,12157332,92157,2,14,2016,12157332,201614
42459,17090824.9,12348619.64,95862,3,14,2016,12348619.64,201614
42460,19262132,14043231.1,110756,4,14,2016,14043231.1,201614
42461,24560637,17812286.5,143697,5,14,2016,17812286.5,201614
42462,47013130.7,32842751.64,267354,6,14,2016,0,201614
42463,53246369.9,37361224.3,301532,7,14,2016,0,201614
42464,53167540.5,37607425.84,300489,1,15,2016,0,201615
42465,19782392,14426610.5,120593,2,15,2016,14426610.5,201615
42466,16406323,11878697.18,101955,3,15,2016,11878697.18,201615
42467,18332158,13415458.7,114961,4,15,2016,13415458.7,201615
42468,21102751.6,15413814.8,133895,5,15,2016,15413814.8,201615
42469,34800310.2,25578518.08,219643,6,15,2016,25578518.08,201615
42470,39155560.5,28988932.6,246273,7,15,2016,28988932.6,201615
42471,22939256.5,15259844.66,141032,1,16,2016,15259844.66,201616
42472,17097777.9,12438353.02,108877,2,16,2016,12438353.02,201616
42473,17923486.7,13541283.12,120429,3,16,2016,13541283.12,201616
42474,17662318.7,13423185.94,119482,4,16,2016,13423185.94,201616
42475,31728665.7,21019183.78,195150,5,16,2016,21019183.78,201616
42476,31546611.5,24278892.82,208400,6,16,2016,24278892.82,201616
42477,34833019.5,26832892.16,226530,7,16,2016,26832892.16,201616
42478,17207359.9,13145742.84,113523,1,17,2016,13145742.84,201617
42479,15496808,11851171.9,102258,2,17,2016,11851171.9,201617
42480,15171786.7,11205002.88,98038,3,17,2016,11205002.88,201617
42481,16310683.4,12966420.16,111362,4,17,2016,12966420.16,201617
42482,17524764.6,14101267.62,120648,5,17,2016,14101267.62,201617
42483,26439069.4,20878375.46,177916,6,17,2016,20878375.46,201617
42484,30784305.2,24682296.48,208829,7,17,2016,24682296.48,201617
42485,70102743.8,27318193.56,412297,1,18,2016,27318193.56,201618
42486,14070699.9,11187090,95476,2,18,2016,11187090,201618
42487,15601937,12501441.88,106865,3,18,2016,12501441.88,201618
42488,65014556.8,36649021.42,374542,4,18,2016,36649021.42,201618
42489,48551500,22503964.5,270940,5,18,2016,22503964.5,201618
42490,52062793.6,42003596.84,382328,6,18,2016,0,201618
42491,70105338,56624572.74,526822,7,18,2016,0,201618
42492,40482262.9,32151932.98,300410,1,19,2016,0,201619
