,name,tuan,tongqin,xiuchang,xiuxing,yichang,banxing,gongyi,xijie,lingxing,kuanshi,小类,中类,大类
0,01635b155c8626cbb79741cd70993e2f.jpg,字母,韩版,长袖,其他,常规,宽松,,,连帽,套头,卫衣,卫衣,卫衣
1,01635b155c8626cbb79741cd70993e2f.jpg,,简约,长袖,,常规,,,,连帽,套头,套头衫,套头衫,套头衫
2,01635b155c8626cbb79741cd70993e2f.jpg,字母 ,韩版 ,长袖 ,常规 ,常规 ,宽松 纯电商(只在线上销售) ,,链条 ,连帽 ,链条 套头 ,卫衣,卫衣,卫衣
3,01635b155c8626cbb79741cd70993e2f.jpg,,,长袖,,,宽松,,绣花,连帽,绣花套头,卫衣,卫衣,卫衣
4,01635b155c8626cbb79741cd70993e2f.jpg,字母,韩版,长袖,,常规,宽松,,,连帽,套头,卫衣,卫衣,卫衣
5,01635b155c8626cbb79741cd70993e2f.jpg,其他,,,,,棉内胆,,,,,打底衫,打底衫,打底衫
6,01635b155c8626cbb79741cd70993e2f.jpg,,,长袖,插肩袖,,宽松,,绣花,连帽,绣花套头,T恤,T恤,T恤
7,01635b155c8626cbb79741cd70993e2f.jpg,,,长袖,,常规,,,,,,卫衣,卫衣,卫衣
8,01635b155c8626cbb79741cd70993e2f.jpg,纯色,,长袖,常规,常规,宽松,,印花/印染,连帽,印花/印染套头,卫衣,卫衣,卫衣
9,01635b155c8626cbb79741cd70993e2f.jpg,,,,,,,,,,套头,套头衫,套头衫,套头衫
10,061999e0171c5a8570563d94cb789767.jpg,,,,,,,,,,,打底衫,打底衫,打底衫
11,061999e0171c5a8570563d94cb789767.jpg,条纹,休闲,,常规,,宽松,,,,套头,卫衣,卫衣,卫衣
12,061999e0171c5a8570563d94cb789767.jpg,3D效果,休闲,,常规,,宽松,,绣花,圆领,绣花套头,卫衣,卫衣,卫衣
13,061999e0171c5a8570563d94cb789767.jpg,条纹,休闲,,常规,,宽松,,,,套头,卫衣,卫衣,卫衣
14,061999e0171c5a8570563d94cb789767.jpg,其他,,,,,,,,,套头,卫衣,卫衣,卫衣
15,061999e0171c5a8570563d94cb789767.jpg,,,,,,,,,,,卫衣,卫衣,卫衣
16,061999e0171c5a8570563d94cb789767.jpg,色块,,,,,,,,,套头,卫衣,卫衣,卫衣
17,061999e0171c5a8570563d94cb789767.jpg,其他 ,休闲 ,,常规 ,,修身型 纯电商(只在线上销售) ,,印花 ,圆领 ,印花 套头 ,套头衫,套头衫,套头衫
18,061999e0171c5a8570563d94cb789767.jpg,其他 ,,,,,,,,,,卫衣,卫衣,卫衣
19,061999e0171c5a8570563d94cb789767.jpg,其他 ,,长袖 ,常规 ,常规款 ,直筒 纯电商(只在线上销售) ,,绣花 ,POLO领 ,绣花 套头 ,毛衫,毛衫,毛衫
20,11f13c8044313cd657d1e057103e9812.jpg,其他,休闲,,常规,,直筒,,,圆领,套头,卫衣,卫衣,卫衣
21,11f13c8044313cd657d1e057103e9812.jpg,其他,休闲,,常规,,直筒,,请见宝贝描述,圆领,请见宝贝描述套头,卫衣,卫衣,卫衣
22,11f13c8044313cd657d1e057103e9812.jpg,字母,韩版,长袖,常规,常规,棉内胆宽松,,,连帽,套头,卫衣,卫衣,卫衣
23,11f13c8044313cd657d1e057103e9812.jpg,骷髅,休闲,,常规,,直筒,,,连帽,套头,卫衣,卫衣,卫衣
24,11f13c8044313cd657d1e057103e9812.jpg,,,,,,,,,连帽,,卫衣,卫衣,卫衣
25,11f13c8044313cd657d1e057103e9812.jpg,人物,韩版,长袖,常规,常规,棉内胆宽松,,,立领,套头,卫衣,卫衣,卫衣
26,11f13c8044313cd657d1e057103e9812.jpg,纯色 ,休闲 ,,常规 ,,宽松 ,,印花 ,连帽 ,印花 套头 ,套头衫,套头衫,套头衫
27,11f13c8044313cd657d1e057103e9812.jpg,字母,韩版,长袖,常规,常规,棉内胆宽松,,"口袋,印花",连帽,"口袋,印花套头",卫衣,卫衣,卫衣
28,11f13c8044313cd657d1e057103e9812.jpg,,,长袖,,常规,宽松,,,连帽,套头,卫衣,卫衣,卫衣
29,11f13c8044313cd657d1e057103e9812.jpg,,,,,,,,,,,卫衣,卫衣,卫衣
30,137c95158451e3f69d927702110bfffd.jpg,纯色,韩版,长袖,常规,常规,宽松,,袋鼠兜,连帽,袋鼠兜套头,卫衣,卫衣,卫衣
31,137c95158451e3f69d927702110bfffd.jpg,纯色,休闲,,常规,,宽松,,印花,连帽,印花套头,卫衣,卫衣,卫衣
